; [Site "BackgammonGalaxy"]
; [Match ID "2973933"]
; [Player 1 "lasse"]
; [Player 2 "lamine"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.10.20"]
; [EventTime "22.04"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       lamine : 0
  1) 64: 24/18 13/9              61: 13/7 8/7
  2) 54: 25/20 24/20             42: 24/20 24/22
  3) 32: 8/5 5/3                 65: 25/20
  4) 53: 8/3 8/5                 53: 25/20
  5) 51: 25/20 6/5               21: 25/24 25/23
  6) 32: 5/2 13/11               42: 25/23 24/20
  7) 31: 25/22 6/5               65: 25/20 20/14
  8) 61: 25/24                   33: 6/3 6/3 7/4 7/4
  9) 43:                         52: 8/3 3/1
 10) 52: 25/23 25/20             52: 23/18 18/16
 11) 11: 25/24 25/24 24/23 6/5   33:
 12) 63: 20/17 17/11             62: 25/23
 13) 64: 11/5 13/9               43: 25/21
 14) 21: 20/18 9/8               54: 25/21
 15) 21: 18/16 16/15             42: 25/23 21/17
 16) 61: 25/24 15/9              42: 21/17 23/21
 17) 32: 9/6 6/4                 32: 25/23 6/3
 18) 33: 13/10 10/7 7/4 13/10    42: 17/15 17/13
 19) 32: 25/23 23/20             62: 23/17 17/15
 20) 52: 20/15 15/13             22: 13/11 13/11 11/9 11/9
 21) 51: 13/8 8/7                53: 23/18 18/15
 22) 65: 25/20 20/14             51: 15/10 10/9
 23) 32: 14/11 11/9              63: 13/7 7/4
 24) 32: 9/6 6/4                 61: 13/7 7/6
 25) 41: 24/20 4/3               65: 15/9 9/4
 26) 42: 20/18 24/20             52: 9/7 15/10
 27) 51: 25/24 20/15             41: 25/24 7/3
 28)  Doubles => 2                Takes
 29) 43: 15/12 24/20             32: 25/23 4/1
 30) 66: 20/14 14/8 8/2 12/6     51: 25/24 6/1
 31) 31: 3/2 6/3                 64: 24/18 18/14
 32) 66: 23/17 17/11 23/17 17/11 52:
 33) 65: 11/5 11/6               44:
 34) 66: 20/14 20/14 14/8 8/2    53:
 35) 51: 6/1 2/1                 11:
 36) 21: 14/12 12/11             33:
 37) 43: 11/7 7/4                65:
 38) 51: 5/0 3/2                 51:
 39) 55: 6/1 6/1 5/0 5/0         63: 25/19
 40) 52: 4/0 2/0                 21:
 41) 21: 4/2 4/3                 32:
 42) 51: 3/0 1/0                 66: 25/19 19/13 19/13 13/7
 43) 21: 2/0 1/0                 21: 9/7 7/6
 44) 54: 3/0 3/0                 62: 13/7 7/5
 45) 52: 2/0 2/0                 32: 9/6 7/5
 46) 65: 1/0 1/0
      Wins 3 point and the match
