; [Site "BackgammonGalaxy"]
; [Match ID "3030216"]
; [Player 1 "lasse"]
; [Player 2 "med17"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.10.23"]
; [EventTime "14.40"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       med17 : 0
  1)                             63: 24/18 13/10
  2) 62: 13/7 13/11              22: 25/23 24/22 22/20 20/18
  3) 21: 25/23 8/7               43: 25/21 21/18
  4) 62: 25/23 13/7              62: 25/23 13/7
  5) 63: 24/18 18/15             62: 25/23
  6) 53: 15/10 10/7              42: 25/21 23/21
  7) 32: 24/21 23/21             63: 23/20 20/14
  8) 43: 25/21 21/18             64: 8/2 6/2
  9) 32: 25/22 13/11             52: 25/23 13/8
 10) 21: 13/11 6/5               62: 23/21 21/15
 11) 44: 18/14 14/10 22/18 18/14 21: 25/23 21/20
 12) 64: 25/21 10/4              61: 25/24 8/2
 13) 41: 6/5 8/4                 64:
 14) 43: 8/5 14/10               64:
 15) 53: 21/16 16/13             42: 25/23 13/9
 16) 51: 13/12 21/16             32: 25/23 25/22
 17) 32: 6/3 11/9                54:
 18) 43: 10/6 6/3                33:
 19) 61: 21/15 9/8               42: 25/23 8/4
 20) 32: 11/8 15/13              31: 8/5 6/5
 21) 52: 12/7 16/14              62: 6/4
 22) 62: 14/8 8/6                63: 4/1
 23) 55: 13/8 8/3 8/3 8/3        52: 6/1 6/4
 24) 64: 7/1 7/3                 42: 25/23 5/1
 25) 55: 6/1 6/1 6/1             61: 23/17 17/16
 26) 54: 7/3 5/0                 62: 23/17 16/14
 27) 52: 5/0 3/1                 41: 23/19 14/13
 28) 62: 4/0 3/1                 63: 23/17 17/14
 29) 44: 4/0 3/0 3/0 3/0         54: 14/9 9/5
 30) 51: 3/0 1/0                 11: 23/22 13/12 17/16 16/15
 31) 64: 25/19 19/15             64: 12/6 15/11
 32) 51: 15/10 10/9              53: 11/6 19/16
 33) 32: 25/22                   51: 22/17 16/15
 34) 43: 22/18 18/15             52: 15/10 17/15
 35) 63: 25/22 22/16             62: 15/9 10/8
 36) 43: 25/22 22/18             55: 9/4 8/3 23/18 18/13
 37) 32: 18/16 16/13              Losses 1 point

      Wins 1 point and the match
