; [Site "BackgammonGalaxy"]
; [Match ID "3137614"]
; [Player 1 "lasse"]
; [Player 2 "chrisoc"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.10.28"]
; [EventTime "08.51"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       chrisoc : 0
  1)                             42: 8/4 6/4
  2) 43: 24/20 13/10             52: 13/8 24/22
  3) 41: 24/20 10/9              31: 24/21 22/21
  4) 51: 9/8 8/3                 11: 21/20 21/20 8/7 7/6
  5) 21: 6/4 4/3                 65: 13/7 7/2
  6) 43: 13/9 9/6                53: 13/8 6/3
  7) 53: 13/8 6/3                61: 13/7 8/7
  8) 31: 13/12 12/9              65: 25/20 20/14
  9) 42: 13/11 11/7              62: 25/23 8/2
 10) 63: 8/2 20/17               22: 25/23 25/23 7/5 5/3
 11) 11: 25/24 25/24 8/7 9/8     41: 7/3 3/2
 12) 44: 24/20 20/16 24/20 20/16 66: 20/14 20/14 14/8 14/8
 13) 62:                         22: 23/21 23/21 6/4 4/2
 14) 43:                         63: 21/15 15/12
 15) 51: 25/20 8/7               33: 8/5 8/5 4/1 4/1
 16) 44: 25/21 8/4 8/4 21/17     22: 25/23 12/10 10/8 8/6
 17) 43: 25/21 21/18             52: 6/1 6/4
 18) 11: 6/5 6/5 3/2 7/6         32: 25/23 4/1
 19)  Doubles => 2                Takes
 20) 53:                         65: 23/17 17/12
 21) 22:                         11: 5/4 5/4 12/11 11/10
 22) 62:                         21: 10/8 8/7
 23) 64:                         41: 7/3 1/0
 24) 65: 25/20                   65: 6/1 6/0
 25) 44:                         55: 4/0 4/0 3/0 3/0
 26) 52: 25/20 20/18             21: 2/0 1/0
 27) 21: 7/6 16/14               62: 3/0 2/0
 28) 43: 16/12 20/17             51: 2/0 1/0
 29)  Losses 3 point                                               Wins 3 point and the match
