; [Site "BackgammonGalaxy"]
; [Match ID "3528526"]
; [Player 1 "lasse"]
; [Player 2 "danb68"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.11.12"]
; [EventTime "09.26"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       danb68 : 0
  1)                             63: 24/18 18/15
  2) 64: 24/18 13/9              42: 15/11 13/11
  3) 31: 8/5 6/5                 55: 13/8 13/8 8/3 8/3
  4) 44: 8/4 8/4 6/2 6/2         31: 8/5 6/5
  5) 52: 18/13 13/11             41: 11/7 8/7
  6) 21: 11/9 24/23              21: 11/9 9/8
  7) 31: 13/10 10/9              63: 24/18 18/15
  8) 54: 13/8 9/5                 Doubles => 2
  9)  Takes                      55: 7/2 7/2 6/1 6/1
 10) 21:                         52: 15/10 10/8
 11) 66:                         64: 13/7 7/3
 12) 32:                         53: 13/8 8/5
 13) 51:                         65: 8/2 8/3
 14) 21:                         22: 8/6 2/0 3/1 3/1
 15) 61:                         62: 6/0 5/3
 16) 41: 25/21 13/12             62: 6/0 6/4
 17) 21:                         41: 5/1 5/4
 18) 32:                         53: 4/0 4/1
 19) 11:                         51: 3/0 1/0
 20) 62: 25/19 8/6               65: 3/0 3/0
 21) 21: 13/11 19/18             43: 2/0 2/0
 22) 21: 9/7 7/6                 61: 1/0 1/0
 23) 63: 12/6 9/6                54: 1/0 1/0
 24) 65: 18/12 11/6              11: 1/0
                                  Wins 3 point and the match
