; [Site "BackgammonGalaxy"]
; [Match ID "3597411"]
; [Player 1 "lasse"]
; [Player 2 "supermario"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.11.15"]
; [EventTime "11.16"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       supermario : 0
  1)                             64: 8/2 6/2
  2) 65: 24/18 18/13             54: 13/8 24/20
  3) 33: 8/5 8/5 6/3 6/3         51: 25/24 13/8
  4)  Doubles => 2                Takes
  5) 21: 13/11 11/10             51: 6/1 24/23
  6) 61: 25/24 8/2               32: 25/23
  7) 52: 25/20 13/11             21: 25/23 24/23
  8) 52: 13/8 10/8               33: 8/5 8/5 13/10 13/10
  9) 52:                         52: 23/18 13/11
 10) 42: 25/21 13/11             22: 6/4 6/4 8/6 23/21
 11) 41: 25/24 11/7              64: 25/21 11/5
 12) 31: 11/8 8/7                61: 8/2 5/4
 13) 62: 13/7 7/5                63: 21/15 15/12
 14) 22:                         41: 12/8 8/7
 15) 21: 25/24 6/4               63:
 16) 62: 24/18 24/22             43: 25/21
 17) 33: 25/22 7/4 7/4 5/2       54:
 18) 11: 8/7 8/7 18/17 17/16     32: 25/23
 19) 61: 25/24 24/18             43:
 20) 63: 24/18 16/13             51: 25/24
 21) 65: 22/16 22/17             41: 25/24 5/1
 22) 61: 17/11 11/10             54: 6/1 5/1
 23) 54: 16/11 10/6              66: 23/17 17/11 11/5 10/4
 24) 66: 13/7 11/5 18/12 12/6    31: 10/7 6/5
 25) 65: 25/19 19/14             66: 7/1
 26) 41: 6/2 14/13               21: 24/23 4/2
 27) 62: 25/19 19/17             55:
 28) 63: 5/2 7/1                 41: 25/24
 29) 41:                         41: 25/24 5/1
 30) 61: 25/19 19/18             43: 5/1 4/1
 31) 52: 18/13 17/15             42: 4/2
 32) 21: 15/13 13/12             41: 24/23
 33) 42: 25/21 12/10             51: 25/24
 34) 43: 6/2 10/7                42: 25/23
 35) 65: 25/19 7/2               64:
 36) 41: 7/3 3/2                 53:
 37) 21: 19/17 17/16             65:
 38) 61: 13/7 16/15              31: 25/24
 39) 65: 21/15 15/10             41: 2/1
 40) 32: 15/12 13/11             63:
 41) 64: 12/6 10/6               41: 2/1
 42) 21: 11/9 6/5                65:
 43) 21: 9/7 7/6                 52:
 44) 32: 7/4 7/5                 52:
 45) 31: 4/3 3/0                 44:
 46) 61: 6/0 5/4                 21: 2/1
 47) 65: 6/0 5/0                 64: 24/18 18/14
 48) 44: 6/2 4/0 4/0 4/0         54: 24/19 19/15
 49) 54: 25/20 20/16             42: 15/11 11/9
 50) 11:                         63: 24/18 18/15
 51) 63: 25/19 19/16             62: 25/19 14/12
 52) 31: 16/13 13/12             42: 25/21 15/13
 53) 42: 25/21 21/19             52: 13/8 8/6
 54) 61: 25/19 19/18             42: 25/21 21/19
 55) 51: 18/13 2/1               43: 19/15 15/12
 56) 63: 25/19 19/16             11: 12/11 11/10 10/9 19/18
 57) 64: 25/19 19/15             65: 21/15 15/10
 58) 66: 25/19 19/13 13/7 7/1    63: 25/19 19/16
 59) 54: 5/1 5/0                 43: 10/6 9/6
 60) 55: 3/0 3/0 2/0 2/0         32: 16/13 13/11
 61) 66: 1/0 1/0 1/0
      Wins 3 point and the match
