; [Site "BackgammonGalaxy"]
; [Match ID "3696250"]
; [Player 1 "lasse"]
; [Player 2 "sake81"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.11.19"]
; [EventTime "20.16"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       sake81 : 0
  1)                             52: 13/8 13/11
  2) 52: 13/8 13/11              65: 24/18 18/13
  3) 65: 24/18 18/13             42: 8/4 6/4
  4) 11: 8/7 8/7 6/5 6/5         44: 13/9 13/9 6/2 6/2
  5) 65: 24/18 18/13             54: 11/6 9/5
  6)  Doubles => 2                Takes
  7) 53: 13/8 13/10              62: 24/22 8/2
  8) 22: 13/11 11/9 11/9 8/6     64: 9/3 8/4
  9) 62: 10/4 6/4                62: 13/7 7/5
 10) 11: 6/5 5/4 4/3 13/12       53: 25/22
 11) 63: 25/22 12/6              62: 25/23
 12) 31: 6/3 3/2                 54:
 13) 65: 8/2 22/17               52:
 14) 32: 9/6 7/5                 66:
 15) 51: 13/8 8/7                43: 25/22
 16) 62: 9/3 5/3                 64:
 17) 65: 7/1 6/1                 11:
 18) 51: 17/12 7/6               43:
 19) 32: 8/5 6/4                 41:
 20) 65: 12/6 6/1                61:
 21) 55: 6/1 5/0 5/0 5/0         55: 25/20 25/20 25/20 25/20
 22) 21: 6/4 1/0                 63: 20/14 20/17
 23) 31: 3/0 1/0                 62: 20/14 20/18
 24) 61: 4/0 1/0                 32: 18/15 14/12
 25) 21: 2/0 1/0                 21: 14/12 12/11
 26) 21: 2/0 4/3                 33: 12/9 9/6 15/12 17/14
 27) 63: 3/0 4/0                 21: 14/12 12/11
 28) 22: 4/2 3/1 2/0 1/0
      Wins 3 point and the match
