; [Site "BackgammonGalaxy"]
; [Match ID "3731930"]
; [Player 1 "lasse"]
; [Player 2 "gonaminoo"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.11.21"]
; [EventTime "11.06"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       gonaminoo : 0
  1) 41: 13/9 24/23              22: 13/11 13/11 6/4 6/4
  2) 62: 13/7 9/7                51: 13/8 24/23
  3) 31: 8/5 6/5                 32: 23/21 24/21
  4) 31: 23/20 6/5               62: 11/5 8/6
  5) 54: 25/20 24/20             55:
  6)  Doubles => 2                Takes
  7) 61: 20/14 14/13             66:
  8) 55: 20/15 13/8 15/10 13/8   11: 25/24 25/24 24/23 24/23
  9) 32: 6/3 5/3                 43: 13/9 8/5
 10) 61: 10/9 9/3                52: 8/3 9/7
 11) 54: 13/8 13/9               61: 13/7 6/5
 12) 53: 8/3 9/6                 62: 8/2 6/4
 13) 54: 7/3 8/3                 51: 23/18 4/3
 14) 63:                          Doubles => 4
 15)  Takes                      54: 7/2 18/14
 16) 53:                         51: 23/18 14/13
 17) 51: 25/24 8/3               52: 18/13 7/5
 18) 32: 8/5 8/6                 33: 13/10 13/10 10/7 10/7
 19) 54: 6/1 5/1                 31: 21/18 18/17
 20) 54: 6/1 6/2                 61: 17/11 11/10
 21) 33: 6/3 5/2 5/2             52: 10/5 5/3
 22) 64:                         43: 5/1 21/18
 23) 33:                         21: 3/1 7/6
 24) 43:                         44: 18/14 14/10 10/6 7/3
 25) 54:                         41: 6/2 6/5
 26) 53:                         43: 5/1 3/0
 27) 31:                         55: 6/1 6/1 5/0 5/0
 28) 41:                         41: 4/0 4/3
 29) 51: 25/20 20/19             53: 3/0 3/0
 30) 61: 19/13 13/12             53: 3/0 2/0
 31) 52: 12/7 7/5                33: 2/0 2/0 1/0 1/0
 32)  Losses 3 point                                               Wins 3 point and the match
