; [Site "BackgammonGalaxy"]
; [Match ID "3914821"]
; [Player 1 "lasse"]
; [Player 2 "farzan410"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.11.29"]
; [EventTime "12.22"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       farzan410 : 0
  1)                             61: 13/7 8/7
  2) 42: 8/4 6/4                 53: 8/3 6/3
  3) 41: 13/9 24/23              63: 13/7 6/3
  4) 33: 23/20 20/17 8/5 8/5     33: 25/22 7/4 7/4 7/4
  5)  Doubles => 2                Takes
  6) 52: 9/4 17/15               62: 13/7 3/1
  7) 52: 25/20 20/18             55:
  8) 42: 6/2 4/2                 32: 25/22 4/2
  9) 63: 18/15 13/7              52: 13/8 24/22
 10) 33: 15/12 7/4 4/1 12/9      21: 25/24
 11) 11: 25/24 2/1 2/1 24/23     52: 25/23
 12) 63: 23/17 13/10             64:
 13) 33: 5/2 5/2 17/14 14/11     31: 25/22
 14) 43: 15/11 11/8              43: 25/22
 15) 41: 9/5 6/5                 65:
 16) 52: 10/5 11/9               64:
 17) 32: 13/10 13/11             65:
 18) 21: 8/6 9/8                 21:
 19) 43: 8/4 11/8                22:
 20) 33: 8/5 10/7 7/4 5/2        42:
 21) 52: 5/0 6/4                 64:
 22) 11: 6/5 6/5 2/1 1/0         22:
 23) 42: 4/2 4/0                 64: 25/19
 24) 63: 5/0 5/2                 22:
 25) 51: 5/0 5/4                 54: 25/20
 26) 63: 4/1 4/0                 52: 25/20 22/20
 27) 42: 4/0 4/2                  Losses 3 point

      Wins 3 point and the match
