; [Site "BackgammonGalaxy"]
; [Match ID "3989425"]
; [Player 1 "primepunishment"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.12.02"]
; [EventTime "20.07"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 primepunishment : 0             lasse : 0
  1)                             52: 13/8 24/22
  2) 65: 24/18 18/13             32: 13/10 24/22
  3) 44: 13/9 13/9 24/20 20/16   22: 13/11 11/9 6/4 6/4
  4) 32: 25/23 13/10             53: 10/5 8/5
  5) 62: 6/4 10/4                33: 13/10 10/7 13/10 10/7
  6) 52: 13/8 8/6                 Doubles => 2
  7)  Takes                      53: 8/3 6/3
  8) 63: 13/7 7/4                21: 22/20 9/8
  9) 44: 9/5 9/5 6/2 6/2         41: 25/24 22/18
 10) 33: 13/10 10/7 8/5 4/1      44:
 11) 32: 6/3 5/3                 52:
 12) 65: 8/2 8/3                 33:
 13) 66: 7/1                     21:
 14) 31: 6/3 6/5                 61: 25/19
 15) 43: 5/1 5/2                 64: 25/19 19/15
 16) 51: 5/4                     65: 8/2 15/10
 17) 32: 25/23 4/1               54: 25/20 10/6
 18) 63: 4/1                     33: 5/2 5/2 8/5 8/5
 19) 54:                         31: 19/16 16/15
 20) 52:                         44: 15/11 11/7 20/16 16/12
 21) 21: 25/24 4/2               42: 7/3 3/1
 22) 21: 25/24 3/1               54: 25/21 6/1
 23) 41: 25/24                   63: 25/19 12/9
 24) 31: 2/1                     43: 9/6 19/15
 25) 61: 2/1                     43: 15/11 11/8
 26) 32: 3/1                     61: 8/2 2/1
 27) 31: 25/24                   51: 25/20 20/19
 28) 42: 3/1                     43: 19/15 15/12
 29) 44:                         43: 12/8 8/5
 30) 44:                         51: 6/1 21/20
 31) 32:                         61: 20/14 14/13
 32) 42:                         53: 13/8 8/5
 33) 41: 25/24                   65: 25/20 20/14
 34) 21: 3/1 2/1                 61: 14/8 5/4
 35) 32:                         51: 8/3 3/2
 36) 44:                         43: 5/1 4/1
 37) 65:                         32: 7/4 7/5
 38) 44:                         61: 6/0 6/5
 39) 22:                         63: 5/0 5/2
 40) 41:                         64: 5/0 5/1
 41) 43:                         31: 4/1 1/0
 42) 32:                         61: 4/0 4/3
 43) 55: 25/20 20/15 15/10 10/5  66: 3/0 3/0 3/0 2/0
 44)  Losses 3 point                                               Wins 3 point and the match
