; [Site "BackgammonGalaxy"]
; [Match ID "4144528"]
; [Player 1 "lasse"]
; [Player 2 "mamko"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.12.09"]
; [EventTime "18.02"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       mamko : 0
  1)                             41: 13/9 24/23
  2) 61: 13/7 8/7                61: 13/7 8/7
  3) 53: 24/21 21/16             62: 25/23 13/7
  4) 63: 16/10 13/10             43: 24/20 23/20
  5) 51: 13/8 24/23              44: 6/2 6/2 8/4 8/4
  6) 64:                         21: 7/5 6/5
  7) 32: 25/22 8/6                Doubles => 2
  8)  Takes                      52: 23/21 21/16
  9) 32: 6/3 6/4                 65: 16/10 10/5
 10) 21: 6/4 4/3                 62: 13/7 5/3
 11) 65:                         43: 7/3 13/10
 12) 63:                         41: 20/16 10/9
 13) 21: 25/24 6/4               55: 16/11 11/6 6/1 9/4
 14) 54:                         66: 20/14 7/1 14/8 8/2
 15) 52:                         54: 7/2 4/0
 16) 41:                         61: 6/0 6/5
 17) 31:                         55: 5/0 5/0 5/0 4/0
 18) 64: 25/21 21/15             61: 25/24
 19) 21: 13/11 11/10             61: 24/23
 20) 21: 10/8 8/7                64:
 21) 63: 15/9 9/6                22: 3/1 3/1
 22) 55: 10/5 10/5 7/2 13/8      64:
 23) 64: 8/2 8/4                 21: 25/24
 24) 62: 7/1 7/5                 33:
 25)  Doubles => 4                Takes
 26) 63: 4/1 8/2                 64:
 27) 62: 6/0 2/0                 62:
 28) 52: 6/1 6/4                 62: 25/19 19/17
 29) 52: 5/0 2/0                 66: 17/11 11/5 5/0 2/0
 30) 42: 4/0 2/0                 53: 2/0 2/0
 31) 54: 5/0 4/0                 64: 2/0 1/0
 32) 43: 4/0 3/0                 41: 1/0 1/0
 33) 43: 5/1 3/0                 64: 1/0
                                  Wins 4 point and the match
