; [Site "BackgammonGalaxy"]
; [Match ID "4144774"]
; [Player 1 "lasse"]
; [Player 2 "ivan"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.12.09"]
; [EventTime "18.15"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ivan : 0
  1)                             41: 13/9 24/23
  2) 54: 24/20 13/8              61: 13/7 8/7
  3) 22: 24/22 22/20 6/4 6/4     21: 9/7 23/22
  4) 64: 8/2 6/2                 63: 24/18 18/15
  5) 11: 4/3 4/3 8/7 7/6         21: 25/24 15/13
  6) 65: 13/7 6/1                52: 25/20 20/18
  7) 22: 25/23 13/11 11/9 9/7    65: 25/20 20/14
  8) 62: 7/1 13/11               42: 25/21 6/4
  9)  Doubles => 2                Takes
 10) 54: 8/4 11/6                54: 25/21 7/2
 11) 31: 25/24 25/22             32: 6/3 6/4
 12) 42: 25/23 8/4               62:
 13) 41: 23/22 13/9              42: 25/21
 14) 11: 25/24 6/5 5/4 24/23     52: 25/20
 15) 61: 22/16 23/22             44: 25/21 25/21 7/3 7/3
 16) 42: 25/23                   22: 20/18 18/16 13/11 11/9
 17) 63:                         63: 9/3 13/10
 18) 41: 25/24                   43: 10/6 16/13
 19) 43:                         31: 6/3 3/2
 20) 44:                         44: 21/17 17/13 13/9 21/17
 21) 63:                         61: 17/11 3/2
 22) 44:                         54: 13/8 13/9
 23) 41: 25/24                   21: 9/7 8/7
 24) 42:                         63: 13/7 9/6
 25) 43:                         21: 11/9 9/8
 26) 43:                         52: 7/2 8/6
 27) 64:                         21: 6/4 4/3
 28) 41: 25/24                   65: 8/2 8/3
 29) 52: 25/20 6/4               53: 7/2 7/4
 30) 63: 24/18 20/17             32: 3/0 2/0
 31) 62: 6/4 24/18               32: 6/3 2/0
 32) 55: 18/13 17/12 13/8 18/13  52: 2/0
 33) 51: 12/7 13/12              44: 6/2 6/2 4/0 4/0
 34) 52: 8/6 20/15               62: 4/0 2/0
 35) 54: 15/10 10/6              44: 3/0 3/0 3/0 3/0
 36) 42: 24/20 7/5               31: 2/1 2/0
 37) 43: 25/21 21/18             51: 2/0 1/0
                                  Wins 3 point and the match
