; [Site "BackgammonGalaxy"]
; [Match ID "4496650"]
; [Player 1 "lasse"]
; [Player 2 "gilk"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.12.25"]
; [EventTime "15.02"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       gilk : 0
  1) 51: 13/8 24/23              55: 6/1 6/1 8/3 8/3
  2) 61:                          Doubles => 2
  3)  Takes                      66: 24/18 24/18 13/7 13/7
  4) 43: 25/21 8/5               32: 7/4 6/4
  5) 66:                         62: 8/2 13/11
  6) 64:                         61: 13/7 7/6
  7) 53: 25/20                   62: 11/5 7/5
  8) 32: 25/23                   11: 25/24 3/2 3/2 24/23
  9) 42:                         62: 13/7 23/21
 10) 64:                         21: 21/20 20/18
 11) 21:                         41: 18/14 14/13
 12) 63: 25/22                   61: 13/7 6/5
 13) 53: 25/22                   31: 18/15 5/4
 14) 64:                         63: 18/15 15/9
 15) 41:                         44: 15/11 9/5 11/7 5/1
 16) 41:                         64: 7/1 6/2
 17) 42:                         53: 6/1 7/4
 18) 32: 25/22 13/11             43: 7/4 4/0
 19) 31: 13/10 13/12             21: 2/0 1/0
 20) 43: 22/18 8/5               53: 5/0 5/2
 21) 32: 8/5 6/4                 61: 4/0 1/0
 22) 33: 6/3 6/3 10/7 7/4        61: 4/0 1/0
 23) 43: 11/7 18/15              62: 4/0 4/2
 24) 62: 22/16 13/11             53: 2/0 2/0
 25)  Losses 3 point                                               Wins 3 point and the match
