; [Site "BackgammonGalaxy"]
; [Match ID "4525984"]
; [Player 1 "lasse"]
; [Player 2 "dlaz44"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.12.26"]
; [EventTime "19.46"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       dlaz44 : 0
  1)                             51: 13/8 24/23
  2) 51: 13/8 24/23              63: 23/20 20/14
  3) 32: 13/11 13/10             53: 25/22 13/8
  4) 66: 13/7 13/7 7/1 7/1       51: 25/20 22/21
  5)  Doubles => 2                Takes
  6) 21: 6/4 6/5                 22: 25/23 25/23 23/21 23/21
  7) 21: 25/23 6/5               22: 6/4 6/4 13/11 13/11
  8) 66: 24/18 18/12 8/2 8/2     54: 25/21 11/6
  9) 63: 23/20 20/14             44: 25/21 6/2 6/2 8/4
 10) 51: 25/20 11/10             31: 8/5 5/4
 11) 43: 25/22 22/18             62: 8/2 4/2
 12) 31: 18/15 15/14             11: 2/1 2/1 8/7 7/6
 13) 66: 14/8 14/8 12/6 8/2      41: 8/4 4/3
 14) 65: 8/2 6/1                 64: 6/2
 15) 52: 10/5 10/8               52: 21/16 16/14
 16) 52: 8/3 5/3                 66: 21/15 15/9 9/3 14/8
 17) 31: 6/3 6/5                 61: 8/2 2/1
 18) 51: 8/3 8/7                 43: 21/17 21/18
 19) 53: 25/20 5/2               11: 6/5 6/5 17/16 16/15
 20) 62: 25/19 3/1               63: 15/9 9/6
 21) 21:                          Doubles => 4
 22)  Takes                      62: 18/12 6/4
 23) 42:                         54: 12/7 7/3
 24) 41:                         43: 4/0 4/1
 25) 33:                         51: 5/0 5/4
 26) 53: 25/20 20/17             51: 4/0 1/0
 27) 52: 17/12 12/10             22: 2/0 2/0 2/0 4/2
 28) 21: 10/8 5/4                52: 4/0 2/0
 29) 62: 8/2 2/0                 11: 1/0 1/0 3/2 3/2
 30) 53: 5/0 3/0                 43: 3/0 2/0
 31) 41: 4/0 1/0                 53: 2/0 1/0
                                  Wins 4 point and the match
