; [Site "BackgammonGalaxy"]
; [Match ID "4587870"]
; [Player 1 "lasse"]
; [Player 2 "ganja"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.12.29"]
; [EventTime "10.35"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ganja : 0
  1)                             51: 13/8 24/23
  2) 21: 13/11 24/23             62: 23/21 13/7
  3) 42: 8/4 6/4                 53: 25/20 13/10
  4) 62: 24/18 13/11             66:
  5)  Doubles => 2                Takes
  6) 61: 11/5 6/5                42: 25/23
  7) 41: 6/2 2/1                 53: 25/22
  8) 41: 11/7 8/7                61: 25/24
  9) 42: 25/21 23/21             62: 25/23 13/7
 10) 42: 25/23 7/3               11: 25/24 6/5 6/5 8/7
 11) 53: 8/3 7/4                 55: 7/2 7/2 23/18 18/13
 12) 31: 25/22 22/21             53: 8/3 6/3
 13) 42: 13/9 13/11              54: 10/5 5/1
 14) 51: 13/8 9/8                43: 13/9 9/6
 15) 21: 11/9 9/8                64: 24/18 18/14
 16) 32: 4/1 8/6                 53:
 17) 63: 21/15 15/12             51: 25/24
 18) 62:                         55:
 19) 51: 25/24 12/7              31: 25/24
 20) 53: 24/21 21/16             42: 25/23 6/2
 21) 63: 16/10 10/7              42: 8/6 6/2
 22) 65: 8/2 7/2                 11: 25/24 2/1 2/1 14/13
 23) 65: 7/2 8/2                 43: 13/9 9/6
 24) 54: 21/17 21/16             21: 25/24 6/4
 25) 22: 17/15 16/14 14/12 12/10 53: 6/1 6/3
 26) 41: 10/6 6/5                54: 5/1
 27) 42: 15/11 11/9              33: 5/2 4/1
 28) 53: 9/4 6/3                 62: 24/18 18/16
 29) 33: 6/3 6/3 3/0 3/0         65: 24/18 16/11
 30) 22: 4/2 2/0 2/0 2/0         62: 18/12 11/9
 31) 32: 3/0 5/3                 64: 12/6 9/5
 32) 43: 4/0 3/0                 51: 6/1 5/4
 33) 65: 5/0 5/0                 41: 24/20 20/19
 34) 44: 4/0 3/0 3/0 2/0         11: 24/23 4/3 23/22 22/21
 35) 62: 25/19 19/17             21: 21/19 3/2
 36) 65: 17/11                   44: 19/15 15/11 11/7 7/3
 37) 61: 11/10 10/4              31: 19/16 16/15
 38) 32: 4/2 2/0
      Wins 3 point and the match
