; [Site "BackgammonGalaxy"]
; [Match ID "4592953"]
; [Player 1 "lasse"]
; [Player 2 "blotty_pips"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2023.12.29"]
; [EventTime "15.24"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       blotty_pips : 0
  1) 32: 24/21 13/11             63: 24/18 18/15
  2) 51: 11/10 13/8              53: 25/22 13/8
  3) 41: 24/20 21/20             51: 22/21 21/16
  4) 51: 13/8 10/9               42: 25/21 6/4
  5) 53: 9/4 4/1                 65: 25/20
  6) 63: 8/5 13/7                54: 25/21 25/20
  7) 63: 25/22 13/7              42: 20/16 6/4
  8) 53: 8/3 6/3                 64: 21/15 8/4
  9) 32: 22/20 8/5               22: 15/13 13/11 13/11 13/11
 10) 63: 7/1 8/5                 64: 16/10 10/6
 11) 31: 7/4 6/5                 62: 11/9 9/3
 12) 65: 20/15 15/9              54: 8/3 6/2
 13) 63: 8/2 5/2                 32: 6/3 4/2
 14) 63: 9/3 6/3                 55: 13/8 13/8 11/6 11/6
 15) 31: 6/3 3/2                 51: 8/3 3/2
 16) 43: 20/16 16/13             55: 8/3 8/3 8/3 6/1
 17) 33: 20/17 17/14 13/10 14/11 11: 2/1 1/0 1/0 6/5
 18) 54: 10/5 11/7               64: 6/0 4/0
 19) 51: 7/2 1/0                 61: 6/0 2/1
 20) 52: 5/0 2/0                 44: 5/1 4/0 3/0 3/0
 21) 42: 4/0 2/0                 43: 3/0 3/0
 22) 61: 6/0 1/0                 11: 1/0 1/0 2/1 1/0
 23) 65: 5/0 5/0                 54: 3/0 3/0
                                  Wins 1 point and the match
