; [Site "BackgammonGalaxy"]
; [Match ID "4926658"]
; [Player 1 "lasse"]
; [Player 2 "spiders2"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.01.12"]
; [EventTime "11.48"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       spiders2 : 0
  1) 64: 24/18 13/9              55: 6/1 6/1 8/3 8/3
  2) 33:                          Doubles => 2
  3)  Takes                      65: 13/7 13/8
  4) 54: 25/21 25/20             53: 24/21 21/16
  5) 42: 25/21 20/18             53: 25/20 16/13
  6) 32: 13/11 8/5               64: 25/21 13/7
  7) 32: 25/23 8/5               53: 7/2 24/21
  8) 31:                         43: 21/17 17/14
  9) 21: 25/23                   43: 25/21 14/11
 10) 54: 25/21 25/20             64: 13/7 11/7
 11) 43: 23/20 13/9              51: 21/16 16/15
 12) 53: 25/20 6/3               32: 21/18 15/13
 13) 11: 5/4 5/4 6/5 6/5         31: 18/15 15/14
 14) 41: 20/16 21/20             31: 13/10 10/9
 15) 43: 25/21 13/10             32: 14/12 12/9
 16) 63:                         42: 13/9 9/7
 17) 63:                         31: 13/10 10/9
 18) 66:                         54: 7/2 6/2
 19) 61:                         64: 7/1 7/3
 20) 31:                         53: 9/6 6/1
 21) 66:                         51: 9/8 8/3
 22) 62:                         42: 9/7 7/3
 23) 64: 25/21 21/15             52: 8/3 8/6
 24) 64: 15/9 20/16              42: 6/2 2/0
 25) 21: 21/20 20/18             43: 6/2 6/3
 26) 64: 21/15 10/6              61: 3/0 1/0
 27) 42: 16/12 20/18             32: 3/0 2/0
 28) 61: 12/6 18/17              21: 2/0 1/0
 29) 11: 9/8 8/7 7/6 20/19       42: 3/0 2/0
 30) 32: 15/12 19/17             51: 3/0 1/0
 31) 41: 21/17 17/16             62: 3/1 3/0
 32)  Losses 3 point                                               Wins 3 point and the match
