; [Site "BackgammonGalaxy"]
; [Match ID "5008333"]
; [Player 1 "lasse"]
; [Player 2 "turist"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.01.15"]
; [EventTime "18.25"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       turist : 0
  1) 63: 24/18 13/10             43: 13/9 24/21
  2) 61: 24/18 10/9              62: 24/18 18/16
  3) 21: 25/24 6/4               11: 25/24 6/5 6/5 9/8
  4) 32: 6/4 24/21               41: 8/4 24/23
  5) 65:                          Doubles => 2
  6)  Takes                      44: 8/4 13/9 13/9 9/5
  7) 11: 25/24 8/7 8/7 8/7       52: 16/11 11/9
  8) 65: 24/18 18/13             32: 23/20 5/3
  9) 53: 13/8 8/5                61: 25/24 9/3
 10) 64: 7/1 5/1                 32: 25/23 9/6
 11) 21: 13/11 11/10             62: 23/17 17/15
 12) 54:                         51: 15/10 6/5
 13) 43:                         61: 10/4 4/3
 14) 51: 25/24 13/8              63: 8/2 5/2
 15) 32: 8/5 7/5                 51: 6/1 3/2
 16) 64:                         41: 2/1 13/9
 17) 62:                         41: 13/9 9/8
 18) 32:                         31: 9/6 6/5
 19) 32:                         64: 8/2 8/4
 20) 63:                         53: 5/0 4/1
 21) 65:                         11: 6/5 6/5 1/0 2/1
 22) 55:                         54: 5/0 5/1
 23) 31:                         11: 5/4 5/4 1/0 1/0
 24) 53: 25/20 13/10             63: 4/0 3/0
 25) 22: 10/8 8/6 13/11 18/16    42: 4/0 2/0
 26) 52: 11/6 20/18              43: 4/0 3/0
 27) 63: 18/12 7/4               62: 4/0 2/0
 28) 32: 18/15 16/14             42: 1/0 1/0
                                  Wins 3 point and the match
