; [Site "BackgammonGalaxy"]
; [Match ID "5180087"]
; [Player 1 "lasse"]
; [Player 2 "aboldt"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.01.22"]
; [EventTime "20.34"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       aboldt : 0
  1) 63: 24/18 13/10             42: 13/9 9/7
  2) 43: 25/21 21/18             54: 25/20 24/20
  3) 42: 24/20 20/18             62: 13/11 11/5
  4) 62: 10/4 6/4                42: 8/4 6/4
  5) 22: 18/16 18/16 16/14 16/14 32: 8/5 6/4
  6) 42: 14/10 10/8              61: 13/7 4/3
  7) 31: 14/13 6/3               53: 7/2 6/3
  8) 52: 6/1 3/1                 54: 25/20 20/16
  9) 52: 13/8 8/6                42: 8/4 4/2
 10) 31: 8/7 7/4                 54: 16/11 11/7
 11) 21: 4/2 4/3                 21: 7/5 5/4
 12) 61: 13/7 8/7                63: 13/7 4/1
 13) 61: 13/7 4/3                32: 13/10 7/5
 14) 55: 13/8 13/8 8/3 7/2       33: 10/7 7/4 4/1 5/2
 15) 21: 8/6 3/2                 42: 20/16 16/14
 16) 62: 8/2 8/6                 65: 14/8 8/3
 17) 53: 7/2 7/4                 22: 20/18 18/16 16/14 14/12
 18) 52: 2/0 6/1                 31: 12/9 9/8
 19) 65: 6/1 6/0                 62: 8/2 2/0
 20) 31: 3/0 1/0                 52: 5/0 2/0
 21) 33: 3/0 6/3 3/0 6/3         43: 4/0 3/0
 22) 66: 4/0 3/0 2/0 2/0          Losses 1 point

      Wins 1 point and the match
