; [Site "BackgammonGalaxy"]
; [Match ID "5267545"]
; [Player 1 "lasse"]
; [Player 2 "peter442"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.01.26"]
; [EventTime "16.00"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       peter442 : 0
  1) 41: 13/9 24/23              43: 13/9 9/6
  2) 65: 24/18 23/18             33: 24/21 24/21 21/18 21/18
  3) 42: 8/4 6/4                 53: 8/3 6/3
  4) 62: 13/11 11/5              42: 18/16 18/14
  5) 54: 25/20 13/9              52: 25/20 20/18
  6) 33:                          Doubles => 2
  7)  Takes                      53: 14/9 9/6
  8) 51: 25/20 8/7               31: 25/24 6/3
  9) 61: 13/7 9/8                21: 13/12 24/22
 10) 31: 25/24 6/3               66:
 11)  Doubles => 4                Takes
 12) 52: 18/13 13/11             52: 25/23 25/20
 13) 64: 11/5 7/3                52: 25/20 20/18
 14) 51: 25/24 25/20             42: 18/14 14/12
 15) 64: 8/2 6/2                 31: 25/24 6/3
 16) 65: 18/13 20/14             62:
 17) 32: 14/11 13/11             65: 25/20 24/18
 18) 43: 11/7 8/5                44:
 19) 31: 24/21 21/20             62:
 20) 62: 7/5 20/14               22:
 21) 32: 24/21 11/9              54:
 22) 54: 21/16 14/10             41: 25/24
 23) 53: 16/11 10/7              11: 25/24 8/7 8/7 3/2
 24) 31: 11/8 8/7                42: 6/2 6/4
 25) 43: 20/16 20/17             52: 13/8 4/2
 26) 41: 25/21 21/20             61: 8/2 2/1
 27) 53: 16/11 20/17             62: 7/1 7/5
 28) 31: 17/14 11/10             51: 6/1 6/5
 29) 51: 10/5 9/8                55: 13/8 13/8 8/3 8/3
 30) 41: 14/10 10/9              66:
 31) 33: 9/6 8/5 7/4 7/4         64: 24/18 18/14
 32) 52: 5/0 4/2                 21: 14/12 12/11
 33) 32: 6/3 2/0                  Losses 3 point

      Wins 3 point and the match
