; [Site "BackgammonGalaxy"]
; [Match ID "5414850"]
; [Player 1 "lasse"]
; [Player 2 "mokhosz"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.02.01"]
; [EventTime "18.09"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       mokhosz : 0
  1)                             32: 13/10 13/11
  2) 41: 13/9 24/23              52: 6/1 13/11
  3) 65: 25/20 13/7              42: 24/20 20/18
  4) 53: 25/22 20/15             53: 25/22 6/1
  5) 54: 9/4 8/4                 51: 8/3 11/10
  6) 43: 25/22 25/21             61: 25/24 24/18
  7) 63: 21/15 6/3               52: 25/23 25/20
  8) 32: 8/5 5/3                 61: 25/24 23/17
  9) 22: 25/23 23/21 23/21 22/20 22: 11/9 9/7 7/5 17/15
 10)  Doubles => 2                Takes
 11) 42: 25/23 15/11             32: 6/3 5/3
 12) 63: 13/10 11/5              43:
 13) 21: 6/5 23/21               53:
 14) 31: 21/18 10/9              65:
 15) 62: 18/16 16/10             55:
 16) 32: 10/8 8/5                21: 25/24 18/16
 17) 66:                         63: 24/18 16/13
 18) 66:                         32: 13/10 10/8
 19) 21: 25/23 5/4               32: 18/15 15/13
 20) 22: 13/11 11/9 9/7 23/21    52: 25/23 23/18
 21) 53: 25/20 13/10             64: 18/12 12/8
 22) 52: 21/16 10/8              42: 13/9 8/6
 23) 63:                         21: 9/7 8/7
 24) 41: 25/21 21/20             32: 13/10 10/8
 25) 66: 20/14 14/8 8/2 8/2      21: 6/5 7/5
 26) 66:                         64: 24/18 7/3
 27) 22: 25/23 3/1 3/1 23/21     32: 25/22 8/6
 28) 52: 21/16 16/14             31: 13/10 6/5
 29) 42: 14/12 6/2               63: 22/16 16/13
 30) 62: 25/23 21/15             32: 25/22 13/11
 31) 51: 15/14 21/16             54:
 32) 32: 23/21 21/18             62:
 33) 51: 18/13 14/13             32: 25/22 18/16
 34) 63: 16/10 10/7              53: 16/11 11/8
 35) 66: 13/7 13/7 7/1 7/1       11: 3/2 3/2 5/4 4/3
 36) 43: 7/4 4/0                 54: 8/3 8/4
 37) 61: 6/0 6/5                 53: 22/17 22/19
 38) 65: 5/0 5/0                  Losses 3 point

      Wins 3 point and the match
