; [Site "BackgammonGalaxy"]
; [Match ID "5479669"]
; [Player 1 "lasse"]
; [Player 2 "syb"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.02.04"]
; [EventTime "13.07"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       syb : 0
  1)                             63: 24/18 13/10
  2) 42: 13/9 9/7                63: 25/22 24/18
  3) 43: 25/21 24/21             62: 22/16 18/16
  4) 32: 8/5 6/4                 11: 6/5 6/5 10/9 9/8
  5) 31: 6/5 8/5                 32: 8/5 8/6
  6) 61: 5/4 13/7                41: 13/9 9/8
  7) 64: 13/7 7/3                32: 6/3 5/3
  8) 31: 6/3 8/7                 52: 13/8 8/6
  9) 61: 24/18 7/6               32: 8/5 5/3
 10) 62: 18/16 16/10             52: 6/1 3/1
 11) 43: 6/2 10/7                43: 13/9 9/6
 12) 43: 7/3 7/4                 43: 13/9 9/6
 13) 65: 13/7 7/2                 Doubles => 2
 14)  Takes                      32: 8/5 8/6
 15) 32: 4/1 3/1                 43: 16/12 16/13
 16) 52: 25/23 23/18             53: 12/7 6/3
 17) 64: 25/21 21/15             63: 13/10 7/1
 18) 65:                         61: 10/9 9/3
 19) 51:                         61: 6/0 1/0
 20) 42: 25/21 6/4               52: 5/0 3/1
 21) 21: 4/2 2/1                 66: 6/0 6/0 6/0 6/0
 22) 44: 21/17 17/13 13/9 21/17  62: 5/0 5/3
 23) 61: 17/11 21/20             43: 3/0 3/0
 24) 11: 9/8 8/7 7/6 20/19       51: 3/0 1/0
 25) 53: 11/6 19/16              64: 3/0 1/0
 26) 62: 16/10 10/8              31: 1/0
                                  Wins 3 point and the match
