; [Site "BackgammonGalaxy"]
; [Match ID "5530549"]
; [Player 1 "lasse"]
; [Player 2 "harryp13"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.02.06"]
; [EventTime "13.07"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       harryp13 : 0
  1)                             63: 24/18 18/15
  2) 52: 13/8 24/22              65: 24/18 18/13
  3) 63: 13/10 22/16             41: 25/24 13/9
  4) 42: 25/23 13/9              43: 13/9 13/10
  5) 43: 24/20 23/20             41: 13/9 24/23
  6) 31: 8/5 6/5                 11: 9/8 8/7 8/7 23/22
  7) 42: 13/9 13/11              11: 13/12 12/11 11/10 13/12
  8) 65: 9/3 8/3                 61: 25/24 12/6
  9) 55: 6/1 6/1 11/6 10/5       61:
 10) 22: 8/6 6/4 6/4 8/6         64:
 11)  Doubles => 2                Takes
 12) 64: 20/14 14/10             52: 25/23 10/5
 13) 33: 25/22 5/2 10/7 7/4      21: 25/23 6/5
 14) 51: 25/24 9/4               52: 23/18 18/16
 15) 64: 6/2                     32: 16/13 13/11
 16) 63: 24/21 21/15             43:
 17) 21: 4/2 22/21               63:
 18) 32: 15/12 12/10             41:
 19) 64: 21/15 10/6              41:
 20) 21: 15/14 14/12             52:
 21) 63: 12/6 4/1                54:
 22) 52: 6/1 6/4                 52:
 23) 63: 6/0 6/3                 42:
 24) 41: 5/1 5/4                 42:
 25) 53: 4/0 4/1                 53: 25/20
 26) 66: 4/0 4/0 3/0 3/0         64: 25/19 19/15
 27) 55: 3/0 2/0 2/0 1/0         51: 15/10 7/6
 28) 52: 1/0 1/0                  Losses 3 point

      Wins 3 point and the match
