; [Site "BackgammonGalaxy"]
; [Match ID "5608836"]
; [Player 1 "lasse"]
; [Player 2 "brand1"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.02.09"]
; [EventTime "16.32"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       brand1 : 0
  1) 65: 24/18 18/13             41: 13/9 24/23
  2) 41: 6/2 2/1                 61: 25/24
  3) 32: 25/23 13/10             62: 25/23 24/18
  4) 65: 13/7 7/2                66:
  5)  Doubles => 2                Takes
  6) 52: 23/18 18/16             55: 25/20 25/20 25/20 20/15
  7) 53: 25/20 13/10             21: 25/23 6/5
  8) 62: 25/23                   65: 20/15 15/9
  9) 41: 25/24 25/21             51: 9/4 6/5
 10) 31: 25/24 25/22             41: 8/4 23/22
 11) 66: 24/18 24/18 22/16 24/18 44: 13/9 13/9 6/2 20/16
 12) 65:                         62: 8/2 16/14
 13) 53: 25/22                   32: 8/5 5/3
 14) 53: 25/22                   42: 25/23 14/10
 15) 62:                         63: 9/3 23/20
 16) 63: 25/22                   42: 25/23 10/6
 17) 33: 25/22 8/5 8/5 6/3       55:
 18) 42: 8/4 6/4                 11: 25/24 25/24 23/22 24/23
 19) 31: 25/22 18/17             43: 22/18 9/6
 20) 53: 22/17 13/10             32: 18/15 24/22
 21) 54:                         51: 23/18 18/17
 22) 22:                         31: 17/14 14/13
 23) 62:                         43: 22/18 18/15
 24) 61: 25/24 24/18             32: 6/4 4/1
 25) 52: 13/11 18/13             43: 13/9 9/6
 26) 62: 13/7 13/11              41: 6/2 2/1
 27) 65: 11/5 11/6               62: 15/9 15/13
 28) 51: 17/16 16/11             65:
 29) 64: 11/7 17/11              33: 25/22 13/10 13/10 13/10
 30) 61: 11/5 5/4                51: 22/17 17/16
 31) 41: 7/3 4/3                  Doubles => 4
 32)  Takes                      63: 10/4 4/1
 33) 44: 18/14 18/14 7/3 6/2     43: 16/12 12/9
 34) 66: 22/16 14/8 8/2 22/16    51: 25/24 6/1
 35) 62: 3/1 14/8                65:
 36) 66: 16/10 16/10 10/4 8/2    31: 25/24 10/7
 37) 22:                         42: 10/6 7/5
 38) 54:                         54: 6/1 5/1
 39) 65:                         21: 6/4 6/5
 40) 55:                         41: 5/1 4/3
 41) 64: 25/19 5/1               65:
 42) 51: 2/1 19/14               43:
 43) 21: 14/12 12/11             11:
 44) 65: 11/5 10/5               22:
 45) 65: 6/0 6/1                 52:
 46) 32: 5/2 2/0                 43:
 47) 63: 5/0 4/1                 54:
 48) 53: 5/0 5/2                 44:
 49) 63: 4/0 4/1                 62: 25/19 19/17
 50) 64: 3/0 3/0                  Losses 3 point

      Wins 3 point and the match
