; [Site "BackgammonGalaxy"]
; [Match ID "5615604"]
; [Player 1 "thephoenix2"]
; [Player 2 "lasse"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.02.09"]
; [EventTime "21.33"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 thephoenix2 : 0                 lasse : 0
  1) 43: 13/9 13/10              32: 13/10 13/11
  2) 63: 24/18 18/15             61: 25/24 24/18
  3) 51: 15/14 14/9              63: 25/22 24/18
  4) 42: 8/4 6/4                 11: 6/5 6/5 24/23 23/22
  5) 62: 10/4 24/22              22: 8/6 6/4 6/4 13/11
  6) 21: 4/2 2/1                 32: 11/8 8/6
  7) 41: 6/2 2/1                 61: 13/7 7/6
  8) 53: 9/4 9/6                 32: 6/3 13/11
  9) 21: 25/23 23/22             32: 25/23 6/3
 10) 44:                         65: 8/3 11/5
 11) 62: 25/23 23/17             33: 25/22 23/20 18/15 18/15
 12) 31: 8/5 6/5                 41:
 13)  Doubles => 2                Takes
 14) 41: 13/9 9/8                64:
 15) 66: 8/2 8/2 13/7 13/7       62:
 16) 41: 17/13 13/12             54:
 17) 61: 12/6 6/5                51:
 18) 32: 7/4 7/5                 44:
 19) 31: 4/1 1/0                 61:
 20) 54: 6/2 5/0                 61:
 21) 43: 4/0 5/2                 54:
 22) 41: 6/2 6/5                 63: 25/19 15/12
 23) 42: 5/1 2/0                 51: 22/17 19/18
 24) 51: 5/0 5/4                 52: 18/13 13/11
 25) 63: 4/1 4/0                 53: 15/10 17/14
 26) 31: 4/1 1/0                 31: 10/7 7/6
 27) 42: 2/0 2/0                  Losses 3 point

      Wins 3 point and the match
