; [Site "BackgammonGalaxy"]
; [Match ID "5702979"]
; [Player 1 "lasse"]
; [Player 2 "khn"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.02.13"]
; [EventTime "14.07"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       khn : 0
  1)                             53: 8/3 6/3
  2) 41: 13/9 24/23              65: 24/18 18/13
  3) 51: 23/18 9/8               54: 6/1 13/9
  4) 21: 25/24 18/16             54: 25/21 25/20
  5) 43: 16/13 24/20             51: 13/8 21/20
  6) 53: 8/3 6/3                 32: 8/5 13/11
  7) 41: 25/21 21/20             65: 25/20 11/5
  8) 11: 25/24 8/7 8/7 8/7       64: 20/14 14/10
  9) 53: 24/21 21/16             32: 10/7 7/5
 10) 41: 16/15 15/11             64: 20/14 24/20
 11) 61: 25/24 24/18             43: 14/10 10/7
 12) 21: 25/24 6/4                Doubles => 2
 13)  Takes                      54: 7/2 6/2
 14) 63: 24/18 18/15             21: 13/11 11/10
 15) 52:                         32: 13/10 13/11
 16) 41: 25/24 6/2               63: 10/4 4/1
 17) 61: 25/24 13/7              63:
 18) 62: 24/18 4/2               31: 25/24 10/7
 19) 54: 25/21 21/16             53: 11/6 7/4
 20) 54: 16/11 11/7              65: 20/14 14/9
 21) 11: 6/5 6/5 7/6 7/6         62:
 22)  Doubles => 4                Takes
 23) 63: 13/7 13/10              64: 25/21 21/15
 24) 65:                         63: 24/21 21/15
 25) 51: 25/24 7/2               51: 9/4 6/5
 26) 32: 7/4 7/5                 42: 5/1 8/6
 27) 22:                         31: 8/5 5/4
 28) 64:                         65: 15/9 6/1
 29) 33:                         61: 15/9 9/8
 30) 61:                         51: 9/4 8/7
 31) 62:                         55: 7/2 5/0 6/1 6/1
 32) 54: 25/20 13/9              43: 25/21 21/18
 33) 62: 25/19                   64: 18/12 12/8
 34) 64: 25/19                   61: 8/2 1/0
 35) 62: 25/19 19/17             31: 3/0 1/0
 36)  Losses 3 point                                               Wins 3 point and the match
