; [Site "BackgammonGalaxy"]
; [Match ID "5736075"]
; [Player 1 "lasse"]
; [Player 2 "alea_iacta_est"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.02.14"]
; [EventTime "20.50"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       alea_iacta_est : 0
  1) 51: 13/8 24/23              31: 8/5 6/5
  2) 54: 23/18 18/14             22: 13/11 6/4 6/4 24/22
  3) 43: 25/22 22/18             41: 11/7 8/7
  4) 63: 25/22 22/16             54: 13/8 13/9
  5) 42: 25/23 13/9              44: 24/20 20/16 7/3 7/3
  6) 32: 25/23 8/5               62: 13/7 9/7
  7) 55: 8/3 8/3 13/8 13/8       44: 25/21 16/12 13/9 9/5
  8) 44:                         51: 21/20 12/7
  9) 61: 25/24                   64: 20/14 8/4
 10) 52: 25/23 8/3               41: 8/4 7/6
 11) 11: 6/5 6/5 3/2 8/7         41: 7/3 7/6
 12) 43: 8/4 7/4                 42: 14/10 6/4
 13) 52: 23/18 6/4               54: 10/5 4/0
 14) 65: 18/12 12/7              66: 6/0 6/0 6/0 5/0
 15) 43: 23/19 19/16             22: 4/2 4/2 4/2 4/2
 16) 32:                         52: 5/0 2/0
 17) 41: 25/21 16/15             41: 5/4 4/0
 18) 22:                         11: 5/4 4/3 3/2 3/2
 19) 65: 25/19 15/10             41: 3/2 3/0
 20) 54: 24/19 19/15             32: 2/0 2/0
 21) 32: 19/16 4/2               66: 2/0 2/0 2/0 2/0
                                  Wins 3 point and the match
