; [Site "BackgammonGalaxy"]
; [Match ID "5879662"]
; [Player 1 "lasse"]
; [Player 2 "bzktsngravy"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.02.20"]
; [EventTime "18.56"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       bzktsngravy : 0
  1) 54: 24/20 13/8              64: 8/2 6/2
  2) 54: 24/20 13/8              32: 13/10 10/8
  3) 42: 8/4 6/4                 64: 24/18 24/20
  4)  Doubles => 2                Takes
  5) 51: 13/8 8/7                61: 25/24 24/18
  6) 51: 25/20 6/5               62: 25/23 8/2
  7) 44: 13/9 9/5 6/2 8/4        51: 25/24 18/13
  8) 32: 4/2 13/10               61: 24/18 2/1
  9) 43: 10/7 20/16              41: 25/24 13/9
 10) 21: 25/24 8/6               41: 25/24 13/9
 11) 31: 8/7 24/21               54: 9/4 8/4
 12) 21: 25/24 24/22             43: 13/9 6/3
 13) 41: 25/24 24/20             21: 24/22 8/7
 14) 51: 8/3 6/5                 64:
 15) 21: 3/1 7/6                 64:
 16) 64: 5/1 20/14               41:
 17) 52: 20/18 14/9              43: 25/22
 18) 31: 6/3 3/2                 65:
 19) 63: 20/14 14/11             61:
 20) 21: 11/9 9/8                64:
 21) 11: 4/3 4/3 5/4 5/4         22:
 22) 61: 18/17 17/11             41:
 23) 33: 11/8 8/5 8/5 9/6        31:
 24) 41: 7/3 6/5                 66:
 25) 32: 5/2 2/0                 63:
 26) 64: 6/0 6/2                 44:
 27) 43: 5/1 5/2                 31:
 28) 21: 3/1 1/0                 61: 25/19
 29) 54: 4/0 4/0                 66: 25/19 25/19 19/13 19/13
 30) 52: 3/0 2/0                 61: 19/13 13/12
 31) 42: 3/0 2/0                 54: 13/8 13/9
 32) 32: 2/0 2/0                 41: 13/9 13/12
 33) 66: 2/0 1/0 1/0 1/0
      Wins 3 point and the match
