; [Site "BackgammonGalaxy"]
; [Match ID "6016106"]
; [Player 1 "lasse"]
; [Player 2 "kimosn"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.02.26"]
; [EventTime "09.07"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       kimosn : 0
  1)                             21: 13/11 6/5
  2) 21: 13/11 24/23             42: 11/7 7/5
  3) 54: 23/18 18/14             62: 24/18 13/11
  4) 11: 25/24 6/5 6/5 8/7       52: 25/23 23/18
  5) 42: 25/23 11/7              62: 25/23 24/18
  6) 42: 25/21 23/21             41: 23/22 22/18
  7) 52: 21/16 16/14             43: 25/22 22/18
  8) 32: 24/21 24/22             54: 18/13 6/2
  9) 54: 14/9 13/9               54: 13/8 6/2
 10) 64: 13/9 22/16              32: 8/5 8/6
 11) 62: 16/10 10/8              32: 6/3 5/3
 12) 63: 9/3 6/3                 63: 8/2 8/5
 13) 41: 8/4 5/4                 63: 13/7 5/2
 14) 43: 9/5 21/18               32: 25/23 13/10
 15) 31: 18/15 13/12             53:
 16) 63: 12/9 15/9               62: 25/23
 17) 31: 9/6 13/12               63:
 18) 32: 12/9 6/4                41: 25/24 18/14
 19) 21: 9/7 7/6                 41: 25/24 14/10
 20) 64: 21/15 15/11             41: 25/24 5/1
 21) 22: 9/7 9/7 11/9 9/7        31: 24/23 6/3
 22) 63: 7/4                     64: 5/1
 23) 62: 7/5                     63: 24/18 18/15
 24) 62: 25/19 19/17             65:
 25) 66: 17/11 11/5              51: 25/24 23/18
 26) 22: 8/6 8/6 5/3 6/4         33: 15/12 18/15 15/12 12/9
 27) 11: 6/5 6/5 6/5 6/5         61: 12/6 9/8
 28) 43: 4/0 3/0                 52: 23/18 8/6
 29) 55: 5/0 5/0 5/0 5/0         52: 23/18 18/16
 30) 53: 5/0 3/0                 52: 24/22 22/17
 31)  Doubles => 2                Takes
 32) 53: 25/20 20/17             42: 16/12 12/10
 33) 22: 17/15 15/13 4/2 4/2     51: 25/24 17/12
 34) 31:                         65: 24/18 18/13
 35) 64: 25/21 21/15             51: 12/7 13/12
 36) 63: 15/9 9/6                42: 12/8 8/6
 37) 42: 6/2 2/0                 21: 7/5 6/5
 38) 32: 5/2 5/3                 44: 18/14 14/10 10/6 24/20
 39) 44: 4/0 4/0 3/0 2/0         65: 20/14 14/9
 40) 54: 2/0 2/0
      Wins 3 point and the match
