; [Site "BackgammonGalaxy"]
; [Match ID "6045103"]
; [Player 1 "lasse"]
; [Player 2 "ricochet"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.02.28"]
; [EventTime "07.20"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ricochet : 0
  1) 32: 24/21 13/11             41: 8/4 24/23
  2) 62: 25/23 24/18             53: 6/1 4/1
  3) 52: 23/18 13/11             63: 13/10 10/4
  4) 61: 11/5 6/5                41: 13/9 9/8
  5) 51: 11/10 13/8              63: 24/18 18/15
  6) 62: 25/23 8/2               54: 25/21 15/10
  7)  Doubles => 2                Takes
  8) 22: 6/4 4/2 23/21 13/11     62:
  9) 43: 8/5 11/7                21: 25/24
 10) 22: 8/6 6/4 6/4 8/6         65:
 11) 65: 7/1 6/1                 63: 25/22
 12) 63: 13/7 18/15              61:
 13) 64: 7/3 15/9                32: 25/22
 14) 53: 25/22 18/13             63: 25/22
 15) 62: 21/15 15/13             44:
 16) 32: 22/20 9/6               61:
 17) 42: 20/16 16/14             54:
 18) 44: 13/9 14/10 9/5 13/9     54:
 19) 51: 9/4 5/4                 65:
 20) 62: 10/4 4/2                55:
 21) 41: 4/0 6/5                 52:
 22) 32: 5/2 2/0                 41:
 23) 52: 6/1 6/4                 41:
 24) 43: 4/0 5/2                 65: 25/19 19/14
 25) 53: 5/0 5/2                 33: 14/11 13/10 13/10 13/10
 26) 61: 4/0 1/0                 31: 8/5 8/7
 27) 55: 4/0 4/0 2/0 2/0         64: 22/16 16/12
 28) 51: 2/0 1/0                 64: 22/16 16/12
 29) 21: 2/0 2/1                 63: 12/6 8/5
 30) 22: 1/0 1/0
      Wins 3 point and the match
