; [Site "BackgammonGalaxy"]
; [Match ID "6133095"]
; [Player 1 "lasse"]
; [Player 2 "sarek"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.03.03"]
; [EventTime "08.49"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       sarek : 0
  1)                             32: 24/21 13/11
  2) 63: 13/7 7/4                54: 25/21 13/8
  3) 31: 25/22 24/23             43: 13/9 24/21
  4) 32: 23/20 22/20             43: 13/9 11/8
  5) 31: 13/12 13/10             33: 25/22 21/18 21/18 18/15
  6) 33: 25/22 6/3 6/3 13/10     61: 25/24
  7)  Doubles => 2                Takes
  8) 53: 10/7 12/7               11: 25/24 25/24 8/7 8/7
  9) 43: 24/20 13/10             52: 8/3 6/4
 10) 21: 25/23 23/22             54: 25/20 24/20
 11) 63: 20/14 10/7              64: 24/20 20/14
 12) 52: 22/20 20/15              Doubles => 4
 13)  Takes                      61: 14/8 8/7
 14) 21: 15/13 14/13             53: 24/21 21/16
 15) 31: 13/10 10/9              53: 25/20 7/4
 16) 52: 9/4 6/4                 41: 20/16 16/15
 17) 63: 13/10 20/14             42: 25/23 9/5
 18) 61: 25/24 10/4              61: 6/5 9/3
 19) 52: 24/22 8/3               44:
 20) 43: 14/10 10/7              51: 25/24 8/3
 21) 51: 25/24 7/2               62: 25/23 20/14
 22) 21: 25/23 23/22             65: 25/20 14/8
 23) 31: 7/4 24/23               51: 8/3 3/2
 24) 64:                         32: 23/20 6/4
 25) 54:                         52: 20/15 4/2
 26) 62:                         44: 24/20 20/16 20/16 20/16
 27) 41: 25/24                   32: 16/13 8/6
 28) 31: 25/22 3/2               32: 6/3 3/1
 29) 62:                         42: 7/3 3/1
 30) 55:                         51: 13/8 15/14
 31) 22:                         42: 16/12 12/10
 32) 61:                         63: 14/8 8/5
 33) 64:                         53: 16/11 11/8
 34) 66:                         64: 10/4 8/4
 35) 41:                         42: 7/3 5/3
 36) 21:                         51: 8/3 3/2
 37) 43:                         66: 6/0 6/0 5/0 5/0
 38) 63: 25/19                   33: 4/1 4/1 4/1 4/1
 39)  Losses 3 point                                               Wins 3 point and the match
