; [Site "BackgammonGalaxy"]
; [Match ID "6137959"]
; [Player 1 "lasse"]
; [Player 2 "garyrolls"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.03"]
; [EventTime "13.57"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       garyrolls : 0
  1)                             54: 13/8 13/9
  2) 52: 13/8 13/11              22: 6/4 6/4 13/11 11/9
  3) 66: 24/18 24/18 13/7 13/7   63: 8/2 24/21
  4) 42: 8/4 6/4                 21: 25/23 13/12
  5)  Doubles => 2                Takes
  6) 54: 25/20 6/2               62: 25/23 8/2
  7) 64:                          Doubles => 4
  8)  Takes                      11: 6/5 5/4 23/22 13/12
  9) 41: 25/24                   64: 24/20 20/14
 10) 42:                         21: 22/20 14/13
 11) 66:                         11: 12/11 12/11 11/10 11/10
 12) 31: 25/24 25/22             44: 20/16 16/12 12/8 13/9
 13) 11: 7/6 6/5 6/5 8/7         42: 10/6 10/8
 14) 54: 22/18 18/13             66: 9/3 9/3 9/3 8/2
 15) 61: 13/7 7/6                53: 8/3 6/3
 16) 54: 8/3 7/3                 61: 8/2 3/2
 17) 41: 18/17 17/13             51: 25/24
 18) 61: 13/7 18/17              63: 6/3
 19) 53: 24/19 17/14             21: 25/23 24/23
 20) 42: 14/10 10/8              42: 3/1
 21) 54: 25/20 20/16             44:
 22) 65: 16/10 10/5              53: 4/1
 23) 64: 19/13 13/9              62: 3/1
 24) 41: 9/5 5/4                 53: 4/1
 25) 21: 6/4 4/3                 54:
 26) 61: 7/1 7/6                 65: 23/18 18/12
 27) 44: 6/2 5/1 6/2 6/2         52:
 28) 43: 8/4 8/5                 52:
 29) 63: 5/0 3/0                 22:
 30) 22: 5/3 5/3 2/0 3/1         64: 25/19 19/15
 31) 53: 4/0 3/0                 32: 15/12 12/10
 32) 51: 4/0 1/0                 53: 12/7 7/4
 33) 41: 4/0 1/0                  Losses 3 point

      Wins 3 point and the match
