; [Site "BackgammonGalaxy"]
; [Match ID "6465503"]
; [Player 1 "lasse"]
; [Player 2 "drdetour"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.16"]
; [EventTime "19.38"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       drdetour : 0
  1) 65: 24/18 18/13             66: 24/18 24/18 13/7 13/7
  2) 65: 13/8 8/2                21: 13/11 8/7
  3) 62: 24/22 22/16             51: 11/6 6/5
  4) 43: 16/13 6/2               32: 8/5 6/4
  5) 64: 13/9 9/3                53: 8/3 7/4
  6) 41: 13/9 9/8                52: 7/2 6/4
  7) 32: 8/5 6/4                 64: 7/1 6/2
  8) 41: 8/4 6/5                 43: 13/9 13/10
  9) 62: 13/11 11/5              64: 9/3 10/6
 10) 54: 13/8 8/4                63: 18/15 15/9
 11) 64: 13/7 7/3                66:
 12) 31: 13/10 10/9              31: 25/24 4/1
 13) 61: 9/3 3/2                 31: 6/3 9/8
 14) 54: 8/3 8/4                 63: 24/18 18/15
 15) 53: 5/0 3/0                 53: 15/10 8/5
 16) 63: 6/0 3/0                 61: 10/4 1/0
 17) 53: 5/0 3/0                 54: 5/0 4/0
 18) 21: 2/0 4/3                 41: 4/0 1/0
 19) 21: 2/0 4/3                 44: 4/0 6/2 6/2 5/1
 20) 22: 2/0 4/2 2/0 3/1         22: 2/0 2/0 2/0 2/0
 21) 41: 4/0 1/0                 41: 5/1 1/0
 22) 61: 6/0 3/2                 42: 3/1 3/0
 23) 65: 5/0 2/0
      Wins 1 point and the match
