; [Site "BackgammonGalaxy"]
; [Match ID "6528905"]
; [Player 1 "lasse"]
; [Player 2 "mehdi20"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.03.19"]
; [EventTime "13.27"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       mehdi20 : 0
  1) 21: 13/11 6/5               64: 24/20 20/14
  2) 42: 25/23 25/21             54: 14/9 13/9
  3) 61: 13/7 8/7                65: 13/7 7/2
  4) 32: 25/23 24/21             64: 25/21 21/15
  5) 64: 24/18 13/9              22: 9/7 9/7 24/22 15/13
  6) 42: 25/23 13/9              22: 13/11 13/11 11/9 11/9
  7) 65: 9/3 8/3                 31: 25/24 24/21
  8) 62: 6/4 13/7                66:
  9) 41: 9/5 6/5                 52: 25/23 13/8
 10) 55: 7/2 7/2 6/1 6/1          Doubles => 2
 11)  Takes                      44: 25/21 21/17 9/5 9/5
 12) 63: 25/22                   55: 13/8 8/3 6/1 6/1
 13) 42: 25/23 25/21             22: 7/5 5/3 7/5 17/15
 14) 21: 23/21 7/6               21: 8/6 15/14
 15) 22: 6/4 4/2 5/3 3/1         33: 14/11 11/8 8/5 8/5
 16) 31: 21/18 5/4               61: 8/7 7/1
 17) 52: 25/23 21/16             62: 8/6 6/0
 18) 43: 16/12 12/9              21: 5/3 1/0
 19) 22: 9/7 7/5 23/21 5/3       65: 6/0 5/0
 20) 62: 21/15 15/13             54: 6/1 5/1
 21) 42: 13/9 9/7                61: 6/0 6/5
 22) 41: 21/17 17/16             62: 5/0 3/1
 23) 31: 7/4 16/15               44: 5/1 5/1 3/0 3/0
 24) 52: 23/18 21/19             51: 1/0 1/0
 25) 64: 23/17 17/13             41: 1/0 1/0
 26) 64: 19/13 13/9              64: 1/0 1/0
 27) 44: 15/11 13/9 18/14 9/5    53: 1/0
                                  Wins 3 point and the match
