; [Site "BackgammonGalaxy"]
; [Match ID "6556664"]
; [Player 1 "lasse"]
; [Player 2 "dman"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.20"]
; [EventTime "15.18"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       dman : 0
  1) 53: 8/3 6/3                 52: 13/8 13/11
  2) 53: 13/8 24/21              53: 8/3 6/3
  3) 31: 6/5 8/5                 44: 8/4 8/4 6/2 6/2
  4) 21: 25/24 13/11             33: 11/8 8/5 8/5 24/21
  5) 41: 8/4 4/3                 33:
  6) 32: 11/8 13/11              31: 25/24 13/10
  7) 22: 8/6 6/4 6/4 11/9        62: 24/18 18/16
  8) 43:                         63: 24/18 13/10
  9) 41: 25/24 13/9              11: 25/24 18/17 17/16 13/12
 10) 64:                         61: 24/18 16/15
 11) 53:                         52: 12/7 10/8
 12) 42:                         54: 18/13 13/9
 13) 41: 25/24                   62: 15/9 9/7
 14) 61: 25/24                   55: 10/5 9/4 8/3 7/2
 15) 54:                         52: 7/2 2/0
 16) 63:                         65: 6/0 5/0
 17) 65: 25/19 24/19              Doubles => 2
 18)  Takes                      21: 25/23 3/2
 19) 32: 19/16 19/17             54: 23/18 18/14
 20) 11: 17/16 3/2 16/15 16/15   55: 14/9 9/4 5/0 5/0
 21) 55: 24/19 24/19 15/10 19/14 62: 4/0 2/0
 22) 65: 14/8 19/14              41: 4/0 4/3
 23) 51: 8/3 3/2                 21: 2/0 4/3
 24) 61: 14/8 8/7                43: 3/0 3/0
 25) 44: 10/6 15/11 11/7 7/3     32: 3/0 2/0
 26) 62: 24/22 7/1               43:
 27) 64: 22/16 16/12             63:
 28) 32: 12/9 9/7                54:
 29) 62: 24/18 18/16             41: 25/24
 30) 43: 25/21 16/13             32:
 31) 62: 3/1 13/7                63:
 32) 54: 21/16 16/12             41: 25/24
 33) 11: 25/24 24/23 2/1 2/1     53:
 34) 62: 7/5 23/17               52: 25/23
 35) 51: 7/2 12/11               52: 25/23
 36) 31: 25/24 5/2               64:
 37) 65: 11/5 17/12              31:
 38) 51: 12/7 24/23              61:
 39) 43: 5/2 23/19               52:
 40) 31: 19/16 7/6               44:
 41) 32: 16/13 13/11             31:
 42) 52: 11/6 6/4                32:
 43) 63: 6/0 6/3                 54:
 44) 54: 5/0 4/0                 42:
 45)  Doubles => 4                Takes
 46) 32: 5/2 2/0                 64:
 47) 42: 6/2 6/4                 62: 25/19
 48) 64: 4/0 4/0                 63: 25/19 19/16
 49) 61: 4/0 1/0                 52: 19/14 14/12
 50) 32: 3/0 2/0                 53: 12/7 16/13
 51) 42: 3/0 2/0                 54: 13/8 8/4
 52) 55: 3/0 2/0 1/0
      Wins 4 point and the match
