; [Site "BackgammonGalaxy"]
; [Match ID "6562873"]
; [Player 1 "lasse"]
; [Player 2 "forever_player"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.20"]
; [EventTime "19.45"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       forever_player : 0
  1)                             21: 13/11 6/5
  2) 54: 24/20 13/8              54: 25/20 24/20
  3) 43: 24/20 13/10             54: 24/20 20/15
  4) 51: 25/20 8/7               65: 15/9 9/4
  5) 41: 8/7 20/16               31: 13/10 11/10
  6) 51: 16/11 11/10             55: 13/8 8/3 8/3 20/15
  7) 42: 25/21 7/5               53: 25/22 25/20
  8) 42: 25/21 7/5               32: 25/22 22/20
  9) 53: 25/20 13/10             63: 25/22 20/14
 10) 51: 10/5 6/5                41: 14/10 22/21
 11) 43: 8/4 6/3                 62: 25/23
 12) 11: 6/5 5/4 8/7 3/2         53: 25/22
 13) 33: 13/10 10/7 21/18 21/18  32: 25/23 6/3
 14) 31: 25/24 13/10             65: 23/17 22/17
 15) 54: 20/16 10/5              65: 17/11 11/6
 16) 43: 16/13 13/9              62: 10/4 6/4
 17) 55: 18/13 13/8 18/13 13/8   63: 25/22 22/16
 18) 53: 25/20 7/4                Doubles => 2
 19)  Takes                      53: 16/11 11/8
 20) 62: 24/18 20/18             32: 6/3 3/1
 21) 43: 7/3 5/2                 54: 6/1 6/2
 22) 54: 8/3 8/4                 51: 8/3 3/2
 23) 11: 4/3 3/2 4/3 3/2         43: 13/9 9/6
 24)  Doubles => 4                Takes
 25) 62: 18/12 18/16             63:
 26) 52: 16/11 11/9              42:
 27) 54: 20/16 16/11             53:
 28) 55: 12/7 11/6 9/4 7/2       53:
 29) 61: 20/19 19/13             41: 25/24
 30) 11: 2/1 2/1 13/12 6/5       21:
 31) 21: 12/10 10/9              62:
 32) 21: 9/7 7/6                 33:
 33) 62: 6/0 5/3                 41:
 34) 11: 6/5 6/5 5/4 5/4         21:
 35) 62: 5/0 5/3                 66: 25/19 25/19 19/13 19/13
 36) 41: 4/0 1/0                 63: 13/7 8/5
 37) 54: 4/0 4/0                 42: 10/6 8/6
 38) 43: 4/0 3/0                 51: 13/8 7/6
 39) 31: 3/0 1/0                 21: 8/6 10/9
 40) 52: 4/0 2/0                 55: 9/4 5/0 6/1 6/1
 41) 53: 3/0 3/0                 42: 4/0 2/0
 42) 33: 2/0
      Wins 4 point and the match
