; [Site "BackgammonGalaxy"]
; [Match ID "6612202"]
; [Player 1 "lasse"]
; [Player 2 "asdollamirza"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.03.22"]
; [EventTime "19.37"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       asdollamirza : 0
  1) 21: 13/11 6/5               62: 24/18 13/11
  2) 53: 8/5 6/1                 21: 25/24 13/11
  3) 42: 25/23 11/7              62: 25/23 24/18
  4) 41: 25/21 8/7               42: 25/21 23/21
  5) 55: 13/8 21/16 16/11 23/18  21: 13/11 8/7
  6) 62: 25/23 24/18             42: 25/23 11/7
  7) 53: 25/22 23/18             32: 25/23 6/3
  8)  Doubles => 2                Takes
  9) 65: 25/20 13/7              32: 8/5 5/3
 10) 22: 25/23 13/11 11/9 11/9   22: 6/4 6/4 11/9 9/7
 11) 41: 25/24 24/20             61: 11/5 13/12
 12) 54: 25/20                   54: 25/21 12/7
 13) 43:                         62: 21/15 8/6
 14) 11: 25/24 24/23 24/23 6/5   62: 13/7 7/5
 15) 21: 25/24 5/3               63: 21/15 6/3
 16) 53: 23/20 20/15             43: 25/22 15/11
 17) 32: 25/23 23/20             21: 11/10 3/1
 18) 61: 25/24                   66:
 19) 43:                         33: 25/22 15/12 12/9 9/6
 20) 53: 25/20 23/20             51: 7/2 2/1
 21) 64:                         64: 21/15 7/3
 22) 43:                         65: 6/1 15/9
 23) 63:                         41: 22/21 10/6
 24) 11:                         41: 22/21 6/2
 25) 43:                         21: 23/21 3/2
 26) 32:                         62: 21/15 23/21
 27) 64:                         52: 9/4 15/13
 28) 51: 25/20                   42: 13/9 9/7
 29) 53: 25/20 20/17             61: 21/15 7/6
 30) 65: 20/14 14/9              65: 21/15 6/1
 31) 63: 20/14 17/14             11: 15/14 14/13 15/14 14/13
 32) 65: 20/14 9/4               54: 25/21 13/8
 33) 32:                         31: 8/5 5/4
 34) 61:                         33: 13/10 10/7 4/1 4/1
 35) 31:                         61: 21/15 7/6
 36) 62:                         22: 15/13 6/4 6/4 6/4
 37) 32:                         42: 13/9 4/2
 38) 52: 25/20                   66: 9/3 4/0 4/0 4/0
 39) 21:                         42: 4/0 3/1
 40) 51: 25/20 7/6               42: 3/0 2/0
 41) 21: 8/6 7/6                 54: 3/0 2/0
 42)  Losses 3 point                                               Wins 3 point and the match
