; [Site "BackgammonGalaxy"]
; [Match ID "6711718"]
; [Player 1 "lasse"]
; [Player 2 "sgh"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.03.26"]
; [EventTime "18.44"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       sgh : 0
  1) 32: 24/21 13/11             42: 8/4 6/4
  2) 52: 25/20 13/11             54: 6/1 24/20
  3) 63: 25/22 11/5              32: 25/22 22/20
  4) 42: 25/23 22/18             32: 6/3 3/1
  5) 21: 23/22 22/20             51: 20/15 15/14
  6) 63: 25/22 13/7               Doubles => 2
  7)  Takes                      31: 8/7 7/4
  8) 66:                         63: 24/18 18/15
  9) 21: 25/23                   64: 8/2 14/10
 10) 61:                         63: 13/7 13/10
 11) 31: 25/22                   42: 4/2 15/11
 12) 54: 25/20 8/4               32: 13/11 7/4
 13) 54: 20/16 16/11             66: 13/7 13/7 10/4 10/4
 14) 51: 6/5 13/8                31: 11/8 8/7
 15) 62: 11/5 6/4                44: 11/7 6/2 6/2
 16) 41: 13/9 8/7                66: 7/1 7/1 7/1 7/1
 17) 64: 20/14 20/16             32: 4/1 2/0
 18) 65: 16/10 14/9              62: 4/0 4/2
 19) 43: 10/6 9/6                61: 4/0 1/0
 20) 22: 22/20 8/6 8/6 22/20     62: 4/0 2/0
 21) 63: 20/14 9/6               65: 2/0 2/0
 22) 41: 20/16 7/6               62: 2/0 1/0
 23) 32: 16/13 13/11             11: 1/0 1/0 1/0 1/0
 24) 53: 14/9 9/6                62: 1/0
                                  Wins 3 point and the match
