; [Site "BackgammonGalaxy"]
; [Match ID "6731769"]
; [Player 1 "lasse"]
; [Player 2 "panda"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.27"]
; [EventTime "14.40"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       panda : 0
  1) 63: 24/18 13/10             62: 13/7 13/11
  2) 64: 25/21 24/18             65: 25/20 13/7
  3) 32: 25/23 21/18             21: 25/23 8/7
  4) 51: 25/24 23/18             63: 25/22 13/7
  5) 53: 25/20 13/10             32: 8/5 7/5
  6) 42: 25/21 24/22             65: 13/8 24/18
  7) 55: 10/5 10/5 8/3 8/3       54: 25/21
  8) 51: 8/7 13/8                53:
  9) 22: 6/4 6/4 4/2 4/2         51: 25/24
 10) 61: 22/16 8/7               61: 25/24
 11) 64: 21/15 13/9              66:
 12) 32: 7/4 6/4                 66:
 13) 62: 16/14 14/8              61: 25/24
 14) 22: 7/5 8/6 6/4 13/11       52:
 15) 22: 9/7 7/5 5/3 15/13       32:
 16) 42: 13/9 9/7                63:
 17) 31: 7/4 11/10               52:
 18) 53: 10/5 5/2                65:
 19) 61: 6/0 6/5                 62: 25/19
 20) 52: 5/0 5/3                 32:
 21) 63: 5/0 5/2                 32:
 22) 66: 4/0 4/0 4/0 4/0         21: 25/24 19/17
 23) 65: 3/0 3/0                 51: 24/19 19/18
 24) 55: 3/0 3/0 2/0 2/0         64: 24/18 24/20
 25) 43: 2/0 2/0
      Wins 3 point and the match
