; [Site "BackgammonGalaxy"]
; [Match ID "7967869"]
; [Player 1 "d_dubs"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.05.15"]
; [EventTime "19.02"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 d_dubs : 0                      lasse : 0
  1) 52: 13/8 13/11              62: 24/18 13/11
  2) 22: 11/9 9/7 6/4 6/4        11: 25/24 6/5 6/5 11/10
  3) 44: 13/9 13/9 9/5 9/5       21: 13/12 13/11
  4) 41: 25/21 8/7               42: 8/4 6/4
  5) 62: 25/23 8/2                Doubles => 2
  6)  Takes                      52: 24/22 10/5
  7) 22: 7/5 7/5 5/3 5/3         62: 25/23 24/18
  8) 66:                         41: 18/14 14/13
  9) 66:                         62: 12/6 13/11
 10) 61: 25/24 8/2               42: 25/23 6/2
 11) 62: 25/23                   53:
 12) 55:                         31: 25/24 5/2
 13) 33: 25/22 25/22 8/5 5/2     64:
 14) 61: 24/18 2/1               54:
 15) 53: 6/1 18/15               31:
 16) 63: 24/18 18/15             54:
 17) 53: 15/10 10/7              64:
 18) 63: 15/9 9/6                53:
 19) 44: 22/18 22/18 7/3 6/2     52: 25/23
 20) 32: 25/23 18/15             63:
 21) 31: 18/15 3/2               62: 25/23
 22) 63: 25/22 22/16             11:
 23) 21: 16/15 15/13             43:
 24) 52: 15/10 15/13             21: 25/23
 25) 52: 23/18 18/16             62: 25/23 11/5
 26)  Doubles => 4                Takes
 27) 51: 16/11 11/10             61: 13/7 8/7
 28) 42: 10/6 24/22              65: 13/8 11/5
 29) 33: 13/10 10/7 10/7 6/3     11: 5/4 5/4 4/3 4/3
 30) 52: 25/23 13/8              63: 23/17 17/14
 31) 33:                         64: 23/17 14/10
 32) 44:                         21: 10/8 8/7
 33) 53:                         44: 17/13 13/9 9/5 7/3
 34) 63:                          Doubles => 8
 35)  Drops                       Wins 4 point

