; [Site "BackgammonGalaxy"]
; [Match ID "7969205"]
; [Player 1 "lasse"]
; [Player 2 "robot"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "8,00/0"]
; [EventDate "2024.05.15"]
; [EventTime "19.56"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       robot : 0
  1) 42: 8/4 6/4                 64: 24/18 18/14
  2) 66: 24/18 24/18 13/7 13/7   63: 14/8 8/5
  3) 43: 13/9 13/10              64: 24/20 20/14
  4) 42: 13/11 11/7              42: 25/23 13/9
  5)  Doubles => 2                Takes
  6) 64: 8/2 6/2                 41: 25/24 13/9
  7) 41: 9/5 6/5                 42: 13/9 24/22
  8) 52: 8/3 7/5                 32: 25/22 5/3
  9) 51: 25/24 10/5              32: 6/3 8/6
 10) 41: 7/3 4/3                 41: 25/21 9/8
 11) 66:                         65: 21/15 8/3
 12) 31: 25/24 7/4               21: 6/4 4/3
 13) 61: 24/18 5/4               11: 6/5 6/5 3/2 3/2
 14) 52: 18/13 13/11             61: 15/14 14/8
 15) 42: 25/21 5/3                Doubles => 4
 16)  Takes                      41: 8/4 4/3
 17) 65:                         64: 13/9 9/3
 18) 65:                         22: 3/1 3/1 8/6 8/6
 19) 31:                         63: 9/3 13/10
 20) 22:                         61: 9/3 6/5
 21) 51:                         41: 10/6 3/2
 22) 62:                         62: 6/0 2/0
 23) 61:                         64: 6/0 5/1
 24) 61:                         41: 6/2 6/5
 25) 63: 25/19                   44: 5/1 5/1 5/1 3/0
 26) 41: 25/21 18/17             64: 3/0 3/0
 27) 65: 17/11 11/6              64: 2/0 2/0
 28) 52: 19/14 14/12             65: 2/0 1/0
 29) 41: 21/17 17/16             51: 1/0 1/0
 30) 32: 18/15 12/10             42: 1/0 1/0
 31) 22: 10/8 8/6 15/13 13/11    66: 1/0
                                  Wins 8 point

