; [Site "BackgammonGalaxy"]
; [Match ID "7984646"]
; [Player 1 "lasse"]
; [Player 2 "fishman"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.05.16"]
; [EventTime "12.31"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       fishman : 0
  1)                             32: 24/21 13/11
  2) 44: 8/4 8/4 24/20 24/20     33: 25/22 11/8 6/3 6/3
  3) 51: 13/8 6/5                62: 22/20 20/14
  4) 42: 25/21 13/11             44:
  5)  Doubles => 2                Takes
  6) 21: 13/11 21/20             11: 25/24 8/7 8/7 24/23
  7) 52: 20/15 15/13             52: 13/8 6/4
  8) 61: 11/5 6/5                22: 13/11 13/11 13/11 8/6
  9) 43: 13/9 11/8               55: 23/18 18/13 13/8 11/6
 10) 61: 13/7 8/7                55: 7/2 7/2 6/1 6/1
 11) 62: 13/7 7/5                31: 8/7 7/4
 12) 63: 9/3 6/3                 31: 8/7 7/4
 13) 41: 20/16 16/15             52: 8/3 4/2
 14) 66: 8/2 8/2 15/9 9/3        61: 11/5 5/4
 15) 64:                         22: 11/9 9/7 7/5 5/3
 16) 43:                         44: 6/2 6/2
 17) 65: 25/19 19/14             41: 2/1
 18) 44: 5/1 14/10 10/6 6/2      52:
 19) 64: 7/1 7/3                 33:
 20) 54: 6/1 6/2                 53:
 21) 62: 5/0 5/3                 65: 25/20 20/14
 22) 52: 4/0 2/0                 62: 14/8 8/6
 23) 21: 2/0 1/0                 66: 6/0 4/0 4/0 4/0
 24) 53: 4/0 3/0                 33: 3/0 3/0 3/0 3/0
 25) 43: 3/0 3/0                 32: 2/0 2/0
 26) 53: 3/0 3/0                 53: 2/0 2/0
 27) 61: 2/0 1/0                 51: 1/0 1/0
 28) 61: 2/0 1/0
      Wins 2 point
