; [Site "BackgammonGalaxy"]
; [Match ID "8056060"]
; [Player 1 "gamesmasterh"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.05.19"]
; [EventTime "09.13"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 gamesmasterh : 0                lasse : 0
  1)                             54: 24/20 13/8
  2) 52: 13/8 24/22              65: 24/18 18/13
  3) 63: 8/5 22/16               22: 25/23 13/11 11/9 13/11
  4) 54: 25/20 24/20             21: 11/9 23/22
  5) 42: 5/3 13/9                54: 25/20 20/16
  6) 65: 25/20 20/14              Doubles => 2
  7)  Takes                      63: 16/10 13/10
  8) 21: 6/4 4/3                 21: 6/4 4/3
  9) 51: 14/9 6/5                54: 13/8 13/9
 10) 51: 9/4 6/5                 52: 8/3 6/4
 11) 54: 8/4 13/8                64: 10/4 10/6
 12) 52: 13/8 8/6                32: 9/6 6/4
 13) 22: 6/4 4/2 8/6 13/11       65: 9/3 9/4
 14) 51: 8/3 3/2                 43: 8/4 4/1
 15) 65: 6/1 11/5                32: 8/6 4/1
 16) 54: 5/1 8/3                 63: 8/2 6/3
 17) 11: 6/5 6/5 5/4 5/4         53: 8/3 3/0
 18) 63: 20/14 14/11             33: 3/0 3/0 3/0 3/0
 19) 63: 20/14 14/11             33: 6/3 6/3 3/0 3/0
 20) 64: 11/5 11/7               61: 6/0 1/0
 21) 22: 7/5 2/0 2/0 4/2         54: 6/1 4/0
 22) 66: 5/0 5/0 5/0 5/0         21: 2/0 1/0
 23) 32: 3/0 2/0                 65: 4/0 4/0
 24) 41: 4/0 1/0                 63: 1/0
                                  Wins 2 point

