; [Site "BackgammonGalaxy"]
; [Match ID "8056838"]
; [Player 1 "lasse"]
; [Player 2 "amateur"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.05.19"]
; [EventTime "10.05"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       amateur : 0
  1)                             41: 13/9 6/5
  2) 52: 13/8 24/22              52: 8/3 5/3
  3) 44: 25/21 24/20 20/16 13/9  61: 25/24 24/18
  4) 61: 13/7 8/7                32: 25/22 6/4
  5) 54: 25/21 21/16             42: 25/21 24/22
  6)  Doubles => 2                Takes
  7) 63: 16/10 16/13             53: 24/21 21/16
  8) 44: 25/21 8/4 8/4 13/9      52: 25/23 25/20
  9) 42: 9/5 7/5                 42: 25/23 8/4
 10) 62: 25/23 23/17             65:
 11) 41: 8/7 13/9                66:
 12) 62: 17/11 11/9              51: 25/24 13/8
 13) 61: 6/5 10/4                51: 24/23 13/8
 14) 54: 9/4 9/5                 53: 13/8 8/5
 15) 64: 13/7 5/1                31: 8/5 23/22
 16) 43: 5/1 7/4                 61: 22/16 13/12
 17) 32: 7/4 7/5                 44: 8/4 12/8 16/12 12/8
 18) 43: 4/0 4/1                 51: 8/3 3/2
 19) 61: 6/0 1/0                 43: 6/2 8/5
 20) 33: 4/1 4/1 4/1 4/1         63: 22/16 16/13
 21) 54: 6/1 5/1                 65: 13/7 7/2
 22) 43: 6/3 5/1                  Doubles => 4
 23)  Drops                       Wins 2 point

