; [Site "BackgammonGalaxy"]
; [Match ID "808139"]
; [Player 1 "lasse"]
; [Player 2 "sigerson"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       sigerson : 0
  1)                             51: 13/8 24/23
  2) 65: 24/18 18/13             42: 8/4 6/4
  3) 11: 6/5 6/5 24/23 23/22     52: 8/3 23/21
  4) 31: 25/22 6/5               11: 25/24 6/5 6/5 24/23
  5) 53: 13/8 8/5                43: 21/18 18/14
  6) 32: 13/11 11/8              21: 25/24 13/11
  7) 31: 13/10 10/9              43: 13/9 9/6
  8) 64: 22/16 13/9              21: 11/9 23/22
  9) 61: 25/24 24/18             62: 13/7 9/7
 10) 11: 25/24 13/12 8/7 8/7     64: 25/21 21/15
 11)  Doubles => 2                Takes
 12) 53: 13/10 12/7              66:
 13) 62: 24/22 22/16             21: 25/23 23/22
 14) 33: 10/7 7/4 7/4 16/13      64: 8/2 6/2
 15) 65: 13/7 7/2                42: 7/3 7/5
 16) 42: 8/4 8/6                 33: 4/1 4/1 8/5 5/2
 17) 33: 9/6 9/6 5/2 5/2         53: 22/17 17/14
 18) 62: 6/4                     52: 22/17 14/12
 19)  Losses 3 point                                               Wins 3 point and the match
