; [Site "BackgammonGalaxy"]
; [Match ID "808169"]
; [Player 1 "mano"]
; [Player 2 "lasse"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 mano : 0                        lasse : 0
  1) 31: 8/5 6/5                 33: 24/21 24/21 13/10 13/10
  2) 62: 24/18 13/11             43: 21/18 18/14
  3) 51: 25/24 18/13             51: 21/16 14/13
  4) 41: 13/9 6/5                11: 25/24 6/5 6/5 24/23
  5) 21: 6/4 5/4                 43: 13/9 9/6
  6) 61: 24/18 9/8               42: 8/4 6/4
  7) 21: 8/6 6/5                 41: 8/7 8/4
  8) 63: 25/22 24/18             64:
  9)  Doubles => 2                Takes
 10) 64: 22/18 8/2               54:
 11) 63: 5/2 13/7                54:
 12) 62: 18/16 16/10             21: 25/24
 13) 32: 10/7 18/16              64:
 14) 64: 16/10 8/4               65:
 15) 63: 13/7 7/4                22:
 16) 51: 13/8 8/7                55:
 17) 54: 10/5 13/9               61: 25/24 13/7
 18) 44: 7/3 7/3 7/3 9/5         54: 13/8 13/9
 19) 55: 5/0 5/0 5/0 5/0         44: 7/3 9/5 6/2 10/6
 20) 52: 4/2                     54: 8/3 6/2
 21) 32: 6/3 6/4                 22: 10/8 8/6 5/3 3/1
 22) 53: 4/0 3/0                 11: 4/3 3/2 2/1 6/5
 23) 44: 4/0 4/0 4/0 3/0         22: 6/4 6/4 4/2 5/3
 24) 42: 3/0 2/0                 52: 24/22 22/17
 25) 62: 25/19 19/17             53: 24/19 4/1
 26) 62: 17/15 15/9              42: 17/13 13/11
 27) 41: 9/5 2/1                 52: 11/6 19/17
 28) 32: 5/2 2/0                 52: 17/12 12/10
 29) 62: 2/0 1/0
      Wins 3 point and the match
