; [Site "BackgammonGalaxy"]
; [Match ID "8257763"]
; [Player 1 "lasse"]
; [Player 2 "kieli"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.05.27"]
; [EventTime "08.18"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       kieli : 0
  1) 43: 13/9 13/10              52: 13/8 13/11
  2) 51: 10/5 6/5                65: 24/18 18/13
  3) 22: 13/11 11/9 6/4 6/4      52: 13/8 13/11
  4)  Doubles => 2                Takes
  5) 41: 24/20 24/23             41: 6/2 24/23
  6) 32: 25/23 23/20             54:
  7) 62: 13/7 9/7                65:
  8) 51: 8/3 3/2                 11: 25/24 25/24 24/23 13/12
  9) 54: 25/21 25/20             54: 8/4 12/7
 10) 43: 25/21 21/18             62: 25/23
 11) 64: 18/12 20/16             44:
 12) 63: 7/1 9/6                 11: 25/24 25/24 25/24 24/23
 13) 31: 25/22 8/7               54: 8/3 8/4
 14) 61: 25/24 16/10             61: 23/17 4/3
 15) 44: 25/21 12/8 24/20 20/16  52: 25/23 6/1
 16) 55: 21/16 16/11 16/11 11/6  32: 6/3 3/1
 17) 33: 6/3 6/3 11/8 10/7       22: 8/6 8/6 6/4 6/4
 18) 63: 20/17 17/11             53: 11/6 6/3
 19) 11: 11/10 10/9 9/8 7/6      42: 11/7 7/5
 20) 54: 25/20 8/4               21: 25/23 3/2
 21) 43: 20/16 16/13             32: 4/1 4/2
 22) 11: 13/12 12/11 11/10 10/9  31: 6/3 3/2
 23) 51: 9/4 6/5                 42: 6/2 3/1
 24) 63: 8/5                     66: 23/17 23/17 17/11 17/11
 25) 64: 25/19 19/15             21: 11/10 3/1
 26) 53: 25/20 20/17             31: 11/8 10/9
 27) 65: 25/20 20/14             42: 8/4 9/7
 28) 42: 14/10 5/3               55: 7/2
 29) 51: 10/5 4/3                66: 23/17 23/17 17/11 17/11
 30) 63: 5/2                     62: 11/5 11/9
 31) 41: 3/2 7/3                 65: 24/18 9/4
 32) 54: 25/20 5/1               53:
 33) 53: 4/1 20/15               43:
 34) 11: 15/14 14/13 3/2 2/1     53:
 35) 66: 13/7 7/1 6/0 6/0        66: 25/19 25/19 25/19 19/13
 36) 63: 5/0 3/0                 53: 19/14 19/16
 37) 61: 5/0 1/0                 63: 13/7 14/11
 38) 63: 4/0 3/0                 42: 16/12 12/10
 39) 42: 4/0 2/0                 31: 10/7 7/6
 40) 54: 3/0 2/0                 54: 11/6 7/3
 41) 51: 1/0 1/0                 22: 2/0 2/0 2/0 2/0
 42) 65: 1/0
      Wins 2 point
