; [Site "BackgammonGalaxy"]
; [Match ID "8296013"]
; [Player 1 "walnut"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.05.28"]
; [EventTime "17.13"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 walnut : 0                      lasse : 0
  1)                             52: 13/8 24/22
  2) 42: 8/4 6/4                 51: 24/23 23/18
  3) 63: 13/7 13/10              22: 25/23 6/4 6/4 13/11
  4) 65: 8/2 7/2                 54: 25/20 20/16
  5) 42: 13/9 10/8               43: 25/22 13/9
  6) 33: 13/10 13/10 10/7 10/7   53: 8/3 6/3
  7) 52: 9/4 6/4                  Doubles => 2
  8)  Takes                      63: 11/5 8/5
  9) 62: 24/18 18/16             43: 25/22 13/9
 10) 42: 25/23 6/2               63: 22/16 9/6
 11) 41: 6/2 7/6                 54: 22/18 18/13
 12) 54:                         53: 13/8 8/5
 13) 54:                         51: 8/3 3/2
 14) 54:                         43: 5/2 8/4
 15) 62:                         65: 6/1 13/7
 16) 65:                         43: 4/1 22/18
 17) 41:                         43: 18/14 16/13
 18) 41:                         52: 14/9 7/5
 19) 22:                         63: 13/7 9/6
 20) 11:                         32: 7/4 4/2
 21) 54:                         55: 6/1 5/0 5/0 5/0
 22) 54: 25/20                   21: 1/0 2/0
 23) 51: 25/20                   63: 6/0 6/3
 24) 52: 25/20 20/18             64: 4/0 4/0
 25) 63: 20/14 20/17             41: 3/0 1/0
 26) 22: 18/16 17/15 16/14 15/13 21: 2/0 1/0
 27) 61: 14/8 13/12              64: 3/0 3/0
 28) 32: 14/11 12/10             51: 2/1 1/0
                                  Wins 4 point

