; [Site "BackgammonGalaxy"]
; [Match ID "8321063"]
; [Player 1 "lasse"]
; [Player 2 "mojo"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.05.29"]
; [EventTime "16.35"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       mojo : 0
  1)                             32: 24/21 13/11
  2) 31: 8/5 6/5                 54: 13/8 13/9
  3) 33: 24/21 24/21 13/10 13/10 21: 9/7 8/7
  4) 61: 21/15 15/14             64: 25/21 24/18
  5) 63: 13/7 14/11              32: 25/23 21/18
  6) 11: 25/24 8/7 5/4 5/4       52: 25/23 25/20
  7) 43: 11/7 8/5                31: 25/24 23/20
  8) 41: 25/21 6/5               54: 25/20 24/20
  9) 11: 25/24 21/20 21/20 24/23 21: 23/22 22/20
 10) 42: 24/20 23/21             42: 8/4 6/4
 11) 22: 25/23 13/11 13/11 6/4   31: 20/17 17/16
 12) 53: 20/15 23/20             31: 16/13 4/3
 13) 63: 20/14 14/11             51: 13/8 4/3
 14) 54: 15/10 10/6              32: 6/3 8/6
 15) 41: 11/7 4/3                64: 13/7 6/2
 16) 44: 20/16 16/12 7/3 20/16   64:
 17) 66: 16/10 12/6 10/4 10/4    21: 25/24 7/5
 18) 32: 10/7 6/4                62: 8/2 7/5
 19) 31: 7/4 4/3                 21: 7/5 5/4
 20) 21: 4/2 3/2                 65: 8/2 6/1
 21) 54: 11/6 11/7               54: 20/15 15/11
 22) 21: 7/5 6/5                 62:
 23) 41: 6/2 2/1                 61: 25/24
 24) 33:                         64:
 25) 33:                         21: 25/24 6/4
 26) 43:                         42: 11/7 3/1
 27) 33:                         31: 6/3 2/1
 28) 52:                         62: 7/1 3/1
 29) 31:                         65:
 30) 51:                         43: 5/1 5/2
 31) 41:                         51: 2/1
 32) 53: 25/20 20/17             54:
 33) 32: 17/14 4/2               42: 4/2
 34) 41: 14/10 10/9              43: 4/1
 35) 43: 7/3 7/4                 21: 3/1 3/2
 36) 51: 9/4 4/3                 54:
 37) 55: 5/0 5/0                 31: 2/1
 38) 52: 2/0                     63: 24/18 18/15
 39) 66: 6/0 6/0 4/0 4/0         63: 15/9 9/6
 40) 65: 4/0 4/0                 31: 6/3 3/2
 41) 32: 3/0 2/0                 61: 24/23 23/17
 42) 54: 25/21 21/16             51: 17/12 12/11
 43) 61: 16/10 3/2               43: 11/8 8/4
 44) 64: 10/6 6/0                21: 2/0 1/0
 45) 43: 3/0 3/0                 53: 4/0 2/0
 46) 63: 2/0
      Wins 1 point and the match
