; [Site "BackgammonGalaxy"]
; [Match ID "8376262"]
; [Player 1 "lasse"]
; [Player 2 "meg_228"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.05.31"]
; [EventTime "19.40"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       meg_228 : 0
  1)                             43: 24/20 13/10
  2) 22: 6/4 6/4 13/11 13/11     64: 13/7 24/20
  3) 31: 24/21 21/20             41: 13/9 10/9
  4) 42: 20/18 18/14             51: 25/20 9/8
  5) 63: 24/18 18/15             53: 13/8 13/10
  6) 55: 25/20 20/15 14/9 9/4    65: 25/20 9/3
  7)  Doubles => 2                Takes
  8) 21: 13/12 4/2               51: 8/3 8/7
  9) 44: 11/7 11/7 13/9 13/9     52: 20/15 15/13
 10) 62: 25/23 15/9              61: 13/7 8/7
 11) 51: 8/3 3/2                 54: 7/2 6/2
 12) 51: 25/20 9/8               42: 7/3 7/5
 13) 21: 25/24 8/6               64: 20/14 5/1
 14) 51: 25/24 6/1               54: 25/20 14/10
 15) 65: 24/18 18/13             31: 8/5 6/5
 16) 51: 13/8 8/7                32: 8/5 6/4
 17) 21: 9/7 9/8                 41: 10/6 5/4
 18) 31: 8/7 7/4                 43: 20/16 16/13
 19) 66: 8/2 8/2 7/1 7/1         61: 13/7 7/6
 20) 21: 6/4 4/3                 44: 6/2 6/2 6/2 6/2
 21) 42: 6/2 6/4                 21: 3/1 2/1
 22) 51: 7/2 7/6                 63: 20/14 14/11
 23) 41: 6/2 1/0                 41: 20/16 16/15
 24) 64: 4/0 4/0                 65: 15/9 11/6
 25) 21: 2/0 1/0                 44: 9/5 4/0 4/0 6/2
 26) 63: 4/0 3/0                 53: 5/0 3/0
 27) 44: 4/0 2/0 2/0 2/0         55: 5/0 5/0 3/0 2/0
 28) 32: 2/0 2/0                 21: 2/0 1/0
 29) 21: 2/0 1/0
      Wins 2 point
