; [Site "BackgammonGalaxy"]
; [Match ID "8418368"]
; [Player 1 "tnt2tango"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "4,00/0"]
; [EventDate "2024.06.02"]
; [EventTime "15.19"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 tnt2tango : 0                   lasse : 0
  1)                             54: 24/20 13/8
  2) 51: 13/8 6/5                54: 25/20 24/20
  3) 63: 25/22 24/18             51: 8/7 8/3
  4) 65: 25/20                    Doubles => 2
  5)  Takes                      21: 6/5 5/3
  6) 51: 25/24 25/20             52: 7/5 13/8
  7) 21: 25/23 24/23             44: 13/9 9/5 20/16 20/16
  8) 43: 8/4 24/21               21: 6/4 6/5
  9) 33:                         55: 16/11 16/11 11/6 13/8
 10) 21: 25/23 13/12             32: 25/22 6/4
 11) 21: 6/4 13/12               44: 22/18 18/14 14/10 10/6
 12) 66: 13/7 13/7 12/6 12/6     51: 11/6 6/5
 13) 21: 7/5 6/5                 52: 8/3 8/6
 14) 32: 6/3 7/5                 54: 8/3 8/4
 15) 51: 23/18 8/7               52: 5/0 6/4
 16) 52: 18/13 5/3               52: 5/0 6/4
 17) 62: 13/7 8/6                65: 6/0 6/1
 18) 41: 8/4 7/6                 41: 4/0 1/0
 19) 65: 23/17 17/12             61: 5/0 5/4
 20) 51: 12/7 6/5                55: 4/0 4/0 4/0 4/0
 21) 63: 23/17 17/14             43: 4/0 3/0
 22) 64: 14/8 8/4                63: 3/0 3/0
 23) 62: 7/1 7/5                 62: 3/1 1/0
                                  Wins 4 point

