; [Site "BackgammonGalaxy"]
; [Match ID "8447705"]
; [Player 1 "pishva22"]
; [Player 2 "lasse"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.03"]
; [EventTime "17.52"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 pishva22 : 0                    lasse : 0
  1)                             62: 24/18 13/11
  2) 65: 13/7 6/1                31: 25/24 25/22
  3) 33: 25/22 6/3 6/3 13/10     53: 25/20 6/3
  4) 61: 25/24 13/7              21: 6/4 4/3
  5) 33: 8/5 8/5 7/4 7/4         52: 25/23 13/8
  6)  Doubles => 2                Takes
  7) 22: 4/2 4/2 3/1 3/1         61:
  8) 51: 24/23 23/18             54: 25/21
  9) 42: 18/14 13/11             53: 25/22
 10) 21: 10/8 14/13              61:
 11) 32: 8/5 5/3                 51:
 12) 53: 8/3 24/21               62:
 13) 54: 13/8 8/4                61:
 14) 61: 11/10 10/4              54:
 15) 31: 24/21 21/20             42:
 16) 53: 21/16 13/10             66:
 17) 52: 20/15 15/13             65:
 18) 65: 16/10 10/5              54:
 19) 63: 13/7 7/4                54:
 20) 62: 10/4 4/2                43:
 21) 51: 5/0 2/1                 21:
 22) 44: 6/2 6/2 5/1 5/1         44:
 23) 31: 1/0 4/1                 64: 25/19
 24) 21: 2/0 1/0                 22:
 25) 42: 4/0 4/2                 41: 25/21
 26) 62: 3/0 3/1                 63: 25/19 21/18
 27) 44: 2/0 2/0 2/0 2/0         64: 19/13 19/15
 28) 54: 1/0 1/0                  Losses 4 point
      Wins 4 point
