; [Site "BackgammonGalaxy"]
; [Match ID "8474864"]
; [Player 1 "lasse"]
; [Player 2 ""]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.04"]
; [EventTime "18.17"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                        : 0
  1)                             51: 13/8 24/23
  2) 65: 24/18 18/13             42: 8/4 6/4
  3) 42: 8/4 6/4                 64: 8/2 6/2
  4) 11: 6/5 6/5 8/7 8/7         53: 8/3 6/3
  5) 62: 24/18 18/16             53: 13/8 8/5
  6)  Doubles => 2                Takes
  7) 65: 13/7 16/11              31: 8/5 23/22
  8) 53: 13/8 11/8               65: 22/16 16/11
  9) 32: 13/10 10/8              33: 13/10 10/7 11/8 8/5
 10) 22: 13/11 11/9 13/11 11/9   11: 13/12 24/23 23/22 12/11
 11) 65:                         32: 11/8 13/11
 12) 31: 25/24 8/5               61: 11/5 8/7
 13) 52: 7/2 5/3                 62: 25/23 7/1
 14) 22:                         52: 7/2 5/3
 15) 21: 25/24                   65:
 16) 51: 25/24 8/3               33:
 17) 54: 8/3 9/5                 11: 25/24 24/23 3/2 5/4
 18) 44: 9/5 5/1 7/3 7/3         63: 23/17 17/14
 19) 65: 24/18 18/13              Doubles => 4
 20)  Drops                       Wins 2 point

