; [Site "BackgammonGalaxy"]
; [Match ID "8488425"]
; [Player 1 "lasse"]
; [Player 2 "udeadlarusso"]
; [Player 1 Elo "4,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.05"]
; [EventTime "07.48"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       udeadlarusso : 0
  1)                             51: 13/8 24/23
  2) 32: 24/21 13/11             63: 23/20 20/14
  3) 51: 25/20 21/20             22: 6/4 6/4 13/11 13/11
  4) 63: 13/7 13/10              61: 24/18 14/13
  5) 21: 25/23 8/7               66:
  6) 32: 7/4 6/4                 64:
  7) 61: 24/18 10/9              21: 25/23 8/7
  8) 42: 25/23 9/5               55: 23/18 13/8 8/3 8/3
  9) 61: 13/7 6/5                52: 25/23 23/18
 10) 22: 25/23 13/11 20/18 20/18 65:
 11) 63: 23/20 11/5              64:
 12)  Doubles => 2                Takes
 13) 31: 8/7 23/20               44:
 14) 31: 23/20 5/4               32: 25/23 25/22
 15) 62: 8/2 4/2                 22:
 16) 64: 20/16 16/10             42:
 17) 66: 10/4 7/1                62:
 18) 11: 4/3 3/2 2/1 6/5         63: 25/22
 19) 53: 18/13 13/10             55:
 20) 63: 18/15 15/9              42:
 21) 43: 10/6 6/3                41:
 22) 64: 9/3 20/16               44:
 23) 21: 20/18 16/15             62:
 24) 63: 18/15 15/9              33:
 25) 53: 15/10 9/6               54:
 26) 42: 10/6 6/4                53:
 27) 52: 5/0 6/4                 51:
 28) 65: 6/0 6/1                 33:
 29) 63: 5/0 5/2                 51: 25/20
 30) 54: 4/0 4/0                 33:
 31) 52: 4/0 4/2                 43: 25/21 20/17
 32) 61: 3/0 1/0                 51: 21/16 16/15
 33) 63: 3/0 2/0                  Losses 4 point
      Wins 4 point
