; [Site "BackgammonGalaxy"]
; [Match ID "8496863"]
; [Player 1 "lasse"]
; [Player 2 "sadleyba"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.05"]
; [EventTime "15.20"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       sadleyba : 0
  1)                             61: 13/7 8/7
  2) 64: 24/20 20/14             54: 13/8 24/20
  3) 64: 24/20 20/14             54: 8/3 7/3
  4) 55: 14/9 14/9 6/1 6/1       42: 25/23 13/9
  5)  Doubles => 2                Takes
  6) 52: 13/8 8/6                65: 8/2 7/2
  7) 55: 13/8 8/3 8/3 13/8       11: 6/5 6/5 9/8 8/7
  8) 54: 13/8 13/9               32: 7/4 6/4
  9) 54: 9/4 8/4                 63: 23/20 13/7
 10) 52: 8/3 6/4                 61: 13/7 7/6
 11) 52: 6/1 4/2                 52: 8/3 3/1
 12) 43: 6/2 6/3                 41: 6/2 2/1
 13) 65: 9/3 9/4                 54: 20/15 15/11
 14) 33: 8/5 8/5 3/0 4/1         62: 25/19 7/5
 15) 63: 5/0 3/0                 11: 11/10 10/9 9/8 19/18
 16) 54: 5/0 4/0                 43: 18/14 14/11
 17) 41: 4/0 1/0                 41: 11/7 7/6
 18) 21: 2/0 1/0                 32: 8/5 2/0
 19) 53: 3/0 3/0                  Losses 2 point
      Wins 2 point
