; [Site "BackgammonGalaxy"]
; [Match ID "8600037"]
; [Player 1 "lasse"]
; [Player 2 "frrstgmp"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.09"]
; [EventTime "19.45"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       frrstgmp : 0
  1) 51: 13/8 24/23              52: 13/8 13/11
  2) 11: 6/5 6/5 8/7 8/7         62: 24/22 22/16
  3)  Doubles => 2                Takes
  4) 42: 13/9 23/21              32: 25/22 24/22
  5) 66: 21/15 15/9 13/7 24/18   21: 8/7 13/11
  6) 31: 25/22 22/21             52: 11/6 6/4
  7) 66:                         61: 11/5 6/5
  8) 62: 25/23 7/1               61: 13/7 6/5
  9) 11: 23/22 22/21 13/12 12/11 52: 25/23
 10) 32: 13/10 10/8              44: 25/21 8/4 8/4 8/4
 11) 65:                         63: 21/15 15/12
 12) 54:                         43: 7/3 6/3
 13) 32: 25/23 8/5               11: 22/21 22/21 4/3 3/2
 14) 22: 25/23 5/3 3/1 11/9      42: 25/23 7/3
 15) 62: 23/17 17/15             41: 12/8 3/2
 16) 51: 9/8 8/3                 52: 23/21 8/3
 17) 51: 15/10 10/9              31: 23/22 5/2
 18) 61: 25/24 24/18             31: 22/21 4/1
 19) 51: 18/13 9/8               32: 4/1 3/1
 20) 31: 13/10 10/9              52: 6/1 6/4
 21) 61: 9/3 8/7                 41: 5/1 5/4
 22) 41: 7/3 6/5                 54:
 23) 52: 8/3 8/6                 43: 21/17 17/14
 24) 32: 9/6 9/7                 51: 14/9 9/8
 25) 54: 7/2 6/2                 52: 21/16 16/14
 26) 31: 5/2 6/5                 63: 14/8 8/5
 27) 31: 5/2 2/1                 52: 8/3 5/3
 28) 43: 6/2 6/3                 65: 21/15 15/10
 29) 11: 5/4 5/4 7/6 7/6         61:
 30) 62: 6/0 6/4                 65: 25/19 19/14
 31) 21: 2/0 1/0                 53: 14/9 9/6
 32) 61: 4/0 1/0                 42: 10/6 2/0
 33) 54: 4/0 4/0                 54: 6/1 4/0
 34) 41: 3/0 1/0                 53: 6/1 3/0
 35) 51: 3/0 2/1                 64: 4/0 3/0
 36) 42: 3/0 2/0                 64: 3/0 3/0
 37) 31: 3/0 1/0                 61: 2/0 1/0
 38) 11: 2/1 1/0
      Wins 2 point
