; [Site "BackgammonGalaxy"]
; [Match ID "8782487"]
; [Player 1 "lasse"]
; [Player 2 "ziyat61"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.17"]
; [EventTime "08.51"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

4 point match

 Game 1
 lasse : 0                       ziyat61 : 0
  1) 53: 8/3 6/3                 21: 13/11 24/23
  2) 32: 13/10 10/8              21: 24/23 13/11
  3) 62: 24/18 13/11             65: 13/7 6/1
  4) 22: 25/23 25/23 6/4 6/4     32: 8/5 7/5
  5) 41: 11/7 8/7                21: 11/9 9/8
  6)  Doubles => 2                Takes
  7) 52: 23/18 18/16             65: 11/5 6/1
  8) 65: 13/7 16/11              62: 8/2 13/11
  9) 65:                         53: 5/2 13/8
 10) 62:                         62: 11/5 5/3
 11) 51:                         64: 8/2 6/2
 12) 65:                         62: 8/2 3/1
 13) 31: 25/22 7/6               31: 23/20 2/1
 14) 52: 22/17 13/11             66:
 15) 44: 13/9 9/5 17/13 13/9     63:
 16) 63: 8/2 5/2                 62:
 17) 63: 11/5 8/5                53:
 18) 55: 11/6 6/1 6/1 7/2        51:
 19) 41: 9/5 7/6                 21:
 20) 43: 5/1 6/3                 11:
 21) 66: 6/0 6/0 5/0 5/0         44:
 22) 61: 4/0 4/3                 52: 25/20
 23) 42: 3/0 3/1                 32:
 24) 22: 3/1 2/0 2/0 2/0         31: 25/22
 25) 31: 25/22 22/21             65: 25/19 20/15
 26) 21:                         55: 19/14 14/9 9/4 15/10
 27) 63: 25/22 22/16             52: 10/5 6/4
 28) 43: 16/13 13/9              63: 22/16 16/13
 29) 42:                         44: 13/9 9/5 6/2 5/1
 30) 31: 25/22                   53: 5/0 5/2
 31) 61: 22/16 16/15             63: 5/0 4/1
 32) 31: 15/14 14/11             43: 4/0 2/0
 33) 41: 11/10 10/6              63: 2/0 2/0
 34) 21: 6/4 1/0                 64: 2/0 2/0
 35) 54: 4/0 1/0                 61: 2/0 1/0
 36) 65: 1/0 1/0                 65: 1/0 1/0
 37) 41: 1/0
      Wins 2 point
