; [Site "BackgammonGalaxy"]
; [Match ID "8793635"]
; [Player 1 "ciccione"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.17"]
; [EventTime "17.56"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 ciccione : 0                    lasse : 0
  1)                             21: 13/11 6/5
  2) 65: 24/18 18/13             44: 13/9 9/5 24/20 24/20
  3) 54: 13/8 6/2                51: 13/8 6/5
  4) 63: 8/2 24/21               54: 8/4 11/6
  5) 55:                          Doubles => 2
  6)  Takes                      65: 20/14 14/9
  7) 52: 25/23 13/8              61: 20/14 5/4
  8) 32: 13/11 11/8              62:
  9) 31: 8/5 6/5                 63: 25/22 22/16
 10) 62: 13/7 7/5                33: 5/2 5/2 8/5 8/5
 11) 62:                         31: 16/13 6/5
 12) 53: 25/22 22/17             11: 25/24 9/8 8/7 5/4
 13) 51: 25/24 6/1               62:
 14) 63: 24/18 18/15             61: 25/24
 15) 31: 25/22 15/14             32: 25/22 13/11
 16) 41: 25/24 5/1               65:
 17) 21: 24/22 8/7               41: 25/24 22/18
 18) 54:                         32: 24/21 18/16
 19) 65:                         54: 21/16 11/7
 20) 41: 25/24                   54: 16/11 11/7
 21) 22:                         42: 16/14 14/10
 22) 51: 25/24 8/3               62: 13/7 13/11
 23) 54: 13/8 8/4                42: 11/7 7/5
 24) 33: 13/10 10/7 7/4 8/5      66: 10/4
 25) 61: 8/2 5/4                 31: 6/5 7/4
 26) 63: 22/16 16/13             33: 6/3 6/3 7/4 7/4
 27) 51: 25/24 24/19             62: 5/0 5/3
 28) 43: 13/9 19/16              21: 4/2 4/3
 29) 43: 16/12 12/9              32: 5/2 5/3
 30) 52: 9/4 9/7                 42: 4/0 2/0
 31) 41: 7/3 4/3                 11: 4/3 4/3 4/3 4/3
 32) 66: 24/18 24/18 18/12 12/6  41: 3/0 2/1
 33) 52: 18/13 13/11             62: 3/0 2/0
 34) 31: 11/8 2/1                21: 2/0 1/0
 35) 54: 8/3 4/0                 42: 3/1 3/0
 36)  Losses 2 point              Wins 2 point

