; [Site "BackgammonGalaxy"]
; [Match ID "8794792"]
; [Player 1 "lasse"]
; [Player 2 "yuna"]
; [Player 1 Elo "8,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.06.17"]
; [EventTime "18.43"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       yuna : 0
  1)                             31: 8/5 6/5
  2) 61: 13/7 8/7                41: 13/9 6/5
  3) 54: 13/8 13/9                Doubles => 2
  4)  Takes                      54: 9/4 8/4
  5) 52: 24/22 22/17             53: 25/22 13/8
  6) 11: 25/24 6/5 6/5 9/8       64: 8/2 6/2
  7) 53: 8/3 6/3                 52: 25/23 13/8
  8) 61: 24/18 18/17             41: 25/24 5/1
  9)  Doubles => 4                Takes
 10) 51: 25/24 13/8              32: 25/23 24/21
 11) 54: 13/8 8/4                62: 25/23 13/7
 12) 52: 17/12 24/22             21: 25/24 23/21
 13) 33: 25/22 7/4 7/4 8/5       63:
 14) 63: 22/16 16/13             31: 25/24 7/4
 15) 63: 22/16 16/13             42: 5/1 5/3
 16) 22: 13/11 11/9 9/7 8/6      41: 6/2 2/1
 17) 63: 13/7 8/5                54: 6/1
 18) 51: 8/3 5/4                 64: 23/17 17/13
 19) 42:                         54: 13/9 9/4
 20) 63: 25/19 5/2               52: 25/23
 21) 52: 25/20 4/2               32: 25/23 4/1
 22) 42:                         63: 23/17 17/14
 23) 42:                         21: 4/3 14/12
 24) 33:                         65: 12/6 6/1
 25) 63: 25/19                   21: 24/23 4/2
 26) 31:                         21: 24/23 4/2
 27) 42: 25/21 19/17             54:
 28) 63: 20/14 21/18             42: 3/1
 29) 21: 17/15 18/17             52: 3/1
 30) 63: 14/8 8/5                65: 23/17 17/12
 31) 11: 3/2 15/14 14/13 13/12   65:
 32) 54: 6/2 17/12               64:
 33) 63: 12/6 7/4                64:
 34) 65: 12/6 7/2                41: 25/24
 35) 64: 6/0 6/2                 62:
 36) 53: 5/0 6/3                 54:
 37) 11: 6/5 5/4 5/4 5/4         54: 25/20 24/20
 38) 31: 4/3 3/0                 32: 20/17 20/18
 39) 32: 3/0 2/0                 41: 18/14 17/16
 40) 61: 4/0 4/3                 62: 16/10 14/12
 41) 62: 4/0 2/0                 64: 12/6 10/6
 42) 31: 3/0 4/3                 41: 24/20 20/19
 43) 61: 4/0 3/2                 64: 19/13 13/9
 44) 51: 3/0 3/2                 51: 6/1 6/5
 45) 32: 2/0 2/0                 62: 24/18 18/16
 46) 33: 2/0 2/0
      Wins 8 point
