; [Site "BackgammonGalaxy"]
; [Match ID "8809517"]
; [Player 1 "zaz"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.18"]
; [EventTime "09.53"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 zaz : 0                         lasse : 0
  1)                             65: 24/18 18/13
  2) 64: 8/2 6/2                 33: 8/5 8/5 6/3 6/3
  3) 61: 24/18 18/17             55: 25/20 13/8 13/8 13/8
  4) 54: 25/21 13/8               Doubles => 2
  5)  Takes                      32: 6/4 13/10
  6) 53:                         61: 10/4 8/7
  7) 33:                         53: 20/15 24/21
  8) 32: 25/23 13/10             65: 25/20 13/7
  9) 66: 10/4 13/7 13/7 13/7     61: 25/24 20/14
 10) 52: 6/4 8/3                 65: 8/2 7/2
 11) 65:                         41: 8/7 24/20
 12) 55:                         55: 6/1 6/1 20/15 15/10
 13) 44:                         54: 14/9 13/9
 14) 21:                         21: 7/5 9/8
 15) 11:                         64: 10/4 9/5
 16) 32:                         33: 7/4 8/5 5/2 4/1
 17) 42:                         62: 5/0 5/3
 18) 63: 25/19                   64: 5/0 5/1
 19) 52: 25/20 19/17             33: 3/0 3/0 3/0 4/1
 20) 61: 20/14 7/6               31: 1/0 4/1
 21) 41: 14/10 7/6               54: 4/0 2/0
 22) 54: 17/12 10/6              21: 2/0 1/0
 23) 55: 8/3 8/3 7/2 12/7        43: 2/0 1/0
 24) 33: 7/4 3/0 3/0 3/0         31: 1/0 1/0
 25) 54: 6/1 4/0                 51: 1/0
                                  Wins 2 point

