; [Site "BackgammonGalaxy"]
; [Match ID "8857994"]
; [Player 1 "lasse"]
; [Player 2 "rezaabadan12345"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.20"]
; [EventTime "08.17"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       rezaabadan12345 : 0
  1) 21: 13/11 6/5               43: 13/9 13/10
  2) 42: 11/7 7/5                55: 13/8 8/3 8/3 10/5
  3) 42: 24/20 13/11             43: 25/22 9/5
  4) 43: 25/21 24/21             53: 5/2 6/1
  5)  Doubles => 2                Takes
  6) 61: 13/7 8/7                66: 22/16 16/10 13/7 13/7
  7) 53: 8/3 6/3                 41: 24/23 6/2
  8) 44: 13/9 9/5 11/7 13/9      43: 24/21 21/17
  9) 51: 25/24 7/2               31: 25/24
 10) 31: 5/2 9/8                 31: 25/24
 11) 31: 24/21 21/20             21: 25/24 10/8
 12) 41: 20/16 8/7               31: 24/21 8/7
 13) 51: 16/11 6/5               41: 21/17 17/16
 14) 42: 11/9 9/5                54: 25/21 21/16
 15) 32: 7/4 4/2                 32: 24/21 16/14
 16) 52: 21/16 16/14             54: 21/16 8/4
 17) 32:                         44: 8/4 14/10 7/3 6/2
 18) 32:                         54: 16/11 10/6
 19) 43:                         66: 11/5 7/1 7/1
 20) 54: 25/20                   32:
 21) 63:                         54: 25/21 21/16
 22) 63:                         65: 16/10 10/5
 23) 22:                         32: 24/21 6/4
 24) 11:                         64: 21/15 5/1
 25) 21:                         41: 15/11 11/10
 26) 63:                         65: 10/4 6/1
 27) 41:                         63: 6/0 3/0
 28) 55: 25/20 25/20 20/15 15/10 64: 4/0 4/0
 29) 43: 10/6 20/17              52: 4/0 2/0
 30) 65: 17/11 11/6              42: 4/0 2/0
 31) 64: 7/1 7/3                 31: 3/0 1/0
 32) 41: 1/0 5/1                 64: 3/0 2/0
 33)  Losses 2 point              Wins 2 point

