; [Site "BackgammonGalaxy"]
; [Match ID "891012"]
; [Player 1 "ozzie72"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 ozzie72 : 0                     lasse : 0
  1) 61: 13/7 8/7                51: 13/8 24/23
  2) 66: 8/2 8/2 7/1 7/1         51: 25/20
  3) 64: 24/18 13/9              31: 25/22 8/7
  4) 43: 25/21 21/18             51: 25/20 8/7
  5) 64: 25/21 24/18             61:
  6)  Doubles => 2                Takes
  7) 62: 13/7 9/7                55: 25/20 22/17 13/8 13/8
  8) 42: 18/14 6/4               62: 17/11 6/4
  9) 43: 25/22 25/21             11:
 10) 62: 22/16 6/4               32: 25/22 11/9
 11) 42: 25/23 7/3               54: 25/20 13/9
 12) 51: 13/12 12/7              54: 25/20 20/16
 13) 54: 13/9 9/4                54: 25/20 20/16
 14) 33: 21/18 18/15 15/12 12/9  53: 25/22 22/17
 15) 44: 25/21 7/3 7/3 6/2       43: 20/16 20/17
 16) 63: 25/22 21/15             51: 16/11 11/10
 17) 62: 25/23                   41: 10/9 17/13
 18) 33: 23/20 23/20 6/3 6/3     62: 13/7 9/7
 19) 62: 22/20 20/14             42: 17/13 13/11
 20) 43: 25/21 4/1               65: 20/14 11/6
 21)  Losses 3 point                                               Wins 3 point and the match
