; [Site "BackgammonGalaxy"]
; [Match ID "8937830"]
; [Player 1 "lasse"]
; [Player 2 "hadi2000"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2024.06.23"]
; [EventTime "15.19"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       hadi2000 : 0
  1)                             32: 13/10 13/11
  2) 22: 6/4 6/4 13/11 13/11     62: 10/4 6/4
  3) 65: 24/18 18/13             22: 24/22 24/22 22/20 22/20
  4) 61: 13/7 8/7                32: 11/8 13/11
  5) 42: 24/20 20/18             63: 13/7 13/10
  6) 66:                         63: 11/5 8/5
  7) 53: 25/22 13/8              42: 7/3 6/4
  8) 54:                         43: 10/6 6/3
  9) 52: 25/23 23/18             61: 8/7 8/2
 10) 51: 25/24 8/3               41: 6/2 8/7
 11) 52: 13/8 13/11              55: 20/15 20/15 15/10 15/10
 12) 61: 11/5 6/5                65: 10/4 10/5
 13) 54: 8/3 11/7                64: 7/1 5/1
 14) 53:                          Doubles => 2
 15)  Drops                       Wins 1 point

