; [Site "BackgammonGalaxy"]
; [Match ID "8957138"]
; [Player 1 "hassan374"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.06.24"]
; [EventTime "10.27"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 hassan374 : 0                   lasse : 0
  1)                             64: 24/18 13/9
  2) 54: 13/8 24/20              53: 18/13 8/5
  3) 62: 25/23 13/7              61: 24/18 6/5
  4) 33: 25/22 13/10 10/7 24/21  61: 25/24 24/18
  5) 62: 25/23 22/16             53: 25/22 18/13
  6) 61: 21/15 16/15             43: 22/18 18/15
  7) 33: 13/10 13/10 8/5 8/5     65:
  8) 51: 23/18 6/5               22: 25/23 13/11 11/9 9/7
  9) 43: 25/21 21/18             31: 25/22 23/22
 10) 44: 18/14 14/10 8/4 8/4     32: 13/11 11/8
 11) 21: 6/4 23/22               43: 13/9 6/3
 12) 51: 25/24 6/1               44: 8/4 8/4 8/4 9/5
 13) 31: 4/1 24/23               33: 6/3 5/2 5/2 5/2
 14) 52: 25/20 20/18             54: 22/17 17/13
 15) 63: 18/15 10/4              52: 13/8 8/6
 16) 65: 15/9 9/4                65: 22/16 16/11
 17) 62: 10/4 5/3                52: 13/8 11/9
 18) 52: 10/5 5/3                63: 9/3 8/5
 19) 52: 6/1 4/2                 63: 13/7 7/4
 20) 63: 15/12 12/6              31:
 21) 53: 15/10 4/1               42: 25/23 5/1
 22) 41: 25/24 24/20             66:
 23) 43: 10/6 20/17              66:
 24) 32: 17/14 14/12             11:
 25) 66: 12/6 6/0 6/0 6/0        61: 25/19 19/18
 26) 54: 25/20 20/16             54: 18/13 13/9
 27) 62:                         41: 9/5 6/5
 28) 21: 25/24 4/2                Doubles => 2
 29)  Takes                      62: 25/23 23/17
 30) 51: 25/24                   53: 17/12 12/9
 31) 11: 3/2 3/2 4/3 4/3         33: 9/6 6/3 6/3 6/3
 32) 64: 24/18 18/14             41: 4/0 3/2
 33) 21: 14/12 12/11             32: 4/1 3/1
 34) 54:                         43: 5/1 5/2
 35) 41:                         33: 3/0 3/0 4/1 4/1
 36) 44: 25/21 21/17 17/13 13/9  52: 3/0 2/0
 37) 41: 11/7 7/6                51: 3/0 1/0
 38) 32: 9/6 2/0                 53: 2/0 2/0
 39) 22: 2/0 6/4 4/2 2/0         22: 2/0 2/0 1/0 1/0
 40) 61: 6/0 1/0                 61: 1/0 1/0
                                  Wins 2 point

