; [Site "BackgammonGalaxy"]
; [Match ID "917713"]
; [Player 1 "lasse"]
; [Player 2 "alexp87"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       alexp87 : 0
  1) 42: 8/4 6/4                 32: 13/10 13/11
  2) 64: 24/18 18/14             64:
  3)  Doubles => 2                Takes
  4) 65: 24/18 18/13             62: 25/23 13/7
  5) 63: 14/8 13/10              53: 23/18 18/15
  6) 53: 25/20 13/10             43: 25/22 7/3
  7) 31: 8/5 6/5                 21: 6/5 5/3
  8) 63:                         42: 8/4 6/4
  9) 65: 25/20 20/14             41: 10/6 6/5
 10) 54: 14/9 13/9               55: 13/8 8/3 13/8 8/3
 11) 32: 10/7 9/7                65: 22/16 16/11
 12) 41: 25/24 24/20             61: 25/24 11/5
 13) 52: 25/20 13/11             33: 25/22 8/5 8/5 6/3
 14) 66:                         53: 6/1 6/3
 15) 61: 25/24 11/5              42: 25/23 5/1
 16) 11: 25/24 5/4 4/3 3/2       61: 25/24
 17) 42: 6/2 8/6                 61: 25/24
 18) 21: 13/11 11/10             32: 25/22 24/22
 19) 44: 24/20 8/4 13/9 9/5      52:
 20) 64: 20/14 10/6              64:
 21) 64: 14/8 8/4                11: 25/24 3/2 3/2 3/2
 22) 63: 7/4                     61: 24/18 18/17
 23) 41: 25/24 24/20             33: 17/14 14/11 11/8 8/5
 24) 42:                         22: 5/3 3/1 3/1 24/22
 25) 62: 25/19 19/17             42: 22/18 24/22
 26) 53: 17/12 12/9              32: 18/16 16/13
 27) 51: 25/20 20/19             22: 24/22 24/22 13/11 11/9
 28) 42: 19/15 15/13             55: 22/17 22/17 17/12 17/12
 29) 52: 25/20 4/2                Doubles => 4
 30)  Takes                      33: 12/9 12/9 9/6 9/6
 31) 31: 20/17 17/16             32: 25/22 6/4
 32) 62: 16/10 4/2               54: 22/17 17/13
 33) 55: 10/5 5/0 6/1 6/1        31: 13/10 2/1
 34) 54: 6/1 6/2                 61: 22/16 16/15
 35) 63: 5/0 4/1                 62: 15/9 9/7
 36) 65: 5/0 5/0                 64: 22/16 10/6
 37) 65: 4/0 4/0                 53: 22/17 16/13
 38) 66: 2/0 2/0 2/0 2/0          Losses 3 point

      Wins 3 point and the match
